account_id,customer_id,account_type,account_status,account_balance,opened_date
A0000049,C000043,Salary,Active,37832.29,2017-05-05
A0000050,C000043,Salary,Active,37676.01,2017-12-21
A0000051,C000044,Salary,Dormant,116626.94,2019-07-25
A0000052,C000045,Current,Dormant,14250.6,2020-02-05
A0000053,C000046,Salary,Active,13437.63,2016-12-25
A0000054,C000047,Savings,Active,10071.02,2023-03-12
A0000055,C000048,Salary,Closed,35753.26,2021-11-28
A0000056,C000049,Savings,Active,172387.42,2018-09-05
A0000057,C000050,Salary,Active,105792.28,2019-06-09
A0000058,C000051,Savings,Closed,30207.81,2023-03-16
A0000059,C000052,Savings,Active,77501.87,2022-04-03
A0000060,C000054,Savings,Active,24066.82,2019-06-06
A0000061,C000055,Savings,Active,13346.36,2020-03-18
A0000062,C000055,Savings,Active,17424.64,2019-01-16
A0000063,C000056,Salary,Active,104790.34,2024-02-08
A0000064,C000057,Current,Active,28596.64,2022-07-12
A0000065,C000057,Salary,Active,7815.56,2024-11-30
A0000066,C000058,Current,Active,5681.89,2024-05-12
A0000067,C000059,Current,Active,27486.83,2022-07-24
A0000068,C000060,Savings,Active,3884.43,2024-03-29
A0000069,C000061,Savings,Active,27136.19,2022-02-14
A0000070,C000061,Current,Active,23431.58,2020-10-02
A0000071,C000062,Savings,Active,5094.82,2022-02-12
A0000072,C000063,Savings,Active,55552.19,2019-09-11
A0000073,C000063,Savings,Active,138159.19,2021-06-08
A0000074,C000064,Salary,Active,28958.24,2023-02-22
A0000075,C000064,Premium,Active,233194.14,2024-11-30
A0000076,C000066,Current,Active,124406.93,2022-06-02
A0000077,C000067,Savings,Active,35881.73,2017-01-20
A0000078,C000068,Salary,Active,956514.89,2021-10-11
A0000079,C000069,Savings,Active,27738.82,2017-08-10
A0000080,C000070,Salary,Active,27165.42,2023-09-29
A0000081,C000071,Savings,Active,33539.62,2020-08-11
A0000082,C000071,Savings,Active,30379.99,2020-05-31
A0000083,C000072,Salary,Active,23953.27,2015-12-06
A0000084,C000073,Savings,Active,18658.95,2021-08-12
A0000085,C000073,Salary,Active,26153.37,2021-11-09
A0000086,C000074,Savings,Active,20216.27,2022-01-21
A0000087,C000075,Current,Active,5902.43,2024-11-30
A0000088,C000076,Savings,Active,11242.13,2024-11-30
A0000089,C000078,Salary,Dormant,18096.3,2024-11-30
A0000090,C000079,Salary,Active,291570.08,2024-11-30
A0000091,C000080,Salary,Active,109153.32,2019-06-19
A0000092,C000080,Current,Active,160552.89,2015-10-17
A0000093,C000081,Savings,Active,30249.99,2019-10-02
A0000094,C000082,Savings,Active,54367.84,2024-07-22
A0000095,C000083,Savings,Active,16622.49,2021-11-24
A0000096,C000084,Current,Active,49351.94,2024-02-22
A0000097,C000085,Salary,Active,8631.8,2020-03-16
A0000098,C000086,Savings,Active,55285.07,2020-03-10
A0000099,C000087,Savings,Dormant,31237.78,2016-09-18
A0000100,C000088,Savings,Active,175571.62,2024-11-30
A0000101,C000089,Savings,Active,66473.51,2021-02-08
A0000102,C000089,Premium,Active,51250.26,2022-06-23
A0000103,C000090,Salary,Dormant,24752.34,2024-11-30
A0000104,C000091,Salary,Dormant,207620.8,2024-11-30
A0000105,C000092,Salary,Active,34647.6,2022-05-15
A0000106,C000093,Salary,Active,30055.79,2017-12-12
A0000107,C000094,Salary,Active,35653.55,2021-06-07
A0000108,C000094,Savings,Active,36417.27,2023-05-19
A0000109,C000095,Savings,Closed,144817.53,2021-07-16
A0000110,C000096,Savings,Active,58455.26,2021-03-13
A0000111,C000097,Salary,Active,33583.16,2018-02-21
A0000112,C000098,Savings,Dormant,790629.9,2018-03-30
A0000113,C000100,Savings,Active,28366.47,2023-10-27
A0000114,C000100,Salary,Active,136367.01,2024-05-08
A0000115,C000101,Savings,Active,176395.47,2019-03-20
A0000116,C000102,Savings,Active,22407.03,2018-04-03
A0000117,C000102,Savings,Active,11860.75,2020-01-06
A0000118,C000103,Current,Active,81777.76,2019-05-11
A0000119,C000104,Savings,Active,25347.51,2024-11-12
A0000120,C000104,Savings,Active,69559.03,2023-09-07
A0000121,C000105,Savings,Active,32927.03,2018-05-18
A0000122,C000106,Savings,Active,14952.32,2024-02-07
A0000123,C000107,Savings,Active,22969.75,2018-10-20
A0000124,C000108,Savings,Active,495159.91,2020-12-07
A0000125,C000109,Premium,Active,1219516.08,2019-09-26
A0000126,C000110,Savings,Active,28658.54,2021-01-02
A0000127,C000110,Savings,Active,33248.88,2022-05-07
A0000128,C000111,Current,Active,15683.86,2018-11-03
A0000129,C000111,Savings,Active,27930.29,2021-03-18
A0000130,C000112,Premium,Active,34965.68,2017-01-30
A0000131,C000113,Current,Active,18770.78,2020-11-08
A0000132,C000114,Savings,Dormant,60424.72,2024-03-06
A0000133,C000116,Salary,Closed,22201.84,2019-12-30
A0000134,C000116,Savings,Active,25236.66,2020-10-23
A0000135,C000117,Savings,Active,101922.44,2023-09-29
A0000136,C000118,Current,Active,37456.98,2018-02-23
A0000137,C000118,Savings,Active,43068.37,2020-08-09
A0000138,C000119,Premium,Active,83513.05,2022-05-05
A0000139,C000120,Savings,Active,18062.31,2020-03-16
A0000140,C000121,Savings,Active,8284.35,2017-01-19
A0000141,C000121,Current,Active,3231.45,2018-11-14
A0000142,C000122,Premium,Active,96666.15,2022-04-07
A0000143,C000123,Savings,Active,11021.65,2019-04-15
A0000144,C000123,Savings,Dormant,6191.02,2021-07-24
A0000145,C000124,Savings,Active,36376.87,2018-12-22
A0000146,C000125,Savings,Active,28909.49,2023-03-06
A0000147,C000125,Current,Active,29113.95,2024-11-30
A0000148,C000126,Savings,Active,54205.31,2024-11-30
A0000149,C000126,Savings,Active,57028.96,2024-11-30
A0000150,C000127,Savings,Active,22151.09,2016-05-01
A0000151,C000128,Salary,Active,57242.84,2018-03-26
A0000152,C000128,Savings,Active,79090.0,2016-11-09
A0000153,C000129,Savings,Active,41808.16,2018-07-18
A0000154,C000129,Savings,Active,147877.45,2022-05-28
A0000155,C000131,Savings,Active,146014.91,2024-11-30
A0000156,C000132,Savings,Active,21179.87,2023-12-21
A0000157,C000133,Premium,Active,38620.92,2018-09-03
A0000158,C000135,Savings,Active,154455.37,2024-11-30
A0000159,C000136,Savings,Active,34524.84,2020-05-29
A0000160,C000136,Current,Active,11400.51,2017-02-03
A0000161,C000137,Savings,Active,39189.73,2021-11-27
A0000162,C000138,Current,Active,38474.61,2019-08-23
A0000163,C000138,Savings,Active,29421.4,2018-05-06
A0000164,C000140,Salary,Active,16461.28,2021-11-28
A0000165,C000140,Savings,Active,7859.89,2021-06-18
A0000166,C000141,Savings,Dormant,60781.1,2024-11-30
A0000167,C000141,Salary,Active,48544.93,2024-05-09
A0000168,C000142,Savings,Closed,53380.13,2018-10-26
A0000169,C000142,Salary,Active,253941.95,2018-03-26
A0000170,C000143,Savings,Active,20120.7,2021-06-29
A0000171,C000144,Current,Active,27722.67,2024-11-30
A0000172,C000145,Current,Closed,59064.78,2019-01-02
A0000173,C000146,Savings,Active,557542.26,2024-11-30
A0000174,C000147,Savings,Active,12654.67,2022-09-26
A0000175,C000147,Savings,Active,22755.31,2022-03-21
A0000176,C000148,Current,Active,19673.01,2018-03-04
A0000177,C000150,Salary,Active,107353.64,2020-01-23
A0000178,C000152,Savings,Active,222730.58,2023-07-29
A0000179,C000153,Savings,Active,6481.86,2023-08-29
A0000180,C000154,Current,Active,1957.64,2022-07-08
A0000181,C000155,Premium,Active,42957.27,2016-08-29
A0000182,C000155,Savings,Active,31355.76,2017-10-19
A0000183,C000156,Salary,Active,6392.37,2016-09-15
A0000184,C000158,Current,Active,72605.29,2018-03-12
A0000185,C000158,Salary,Active,197637.89,2016-03-15
A0000186,C000159,Savings,Active,24366.13,2018-04-08
A0000187,C000160,Savings,Active,11616.53,2019-10-09
A0000188,C000161,Premium,Active,68129.11,2024-11-30
A0000189,C000162,Savings,Dormant,51849.96,2023-08-11
A0000190,C000162,Salary,Active,133689.43,2024-11-30
A0000191,C000163,Salary,Dormant,29094.21,2018-10-07
A0000192,C000163,Savings,Active,113939.16,2017-09-12
A0000193,C000164,Savings,Active,75476.04,2024-11-30
A0000194,C000165,Premium,Active,97092.71,2024-11-30
A0000195,C000165,Savings,Active,13665.9,2024-11-30
A0000196,C000167,Salary,Active,122046.82,2018-07-19
A0000197,C000169,Current,Active,82386.07,2023-07-09
A0000198,C000169,Current,Dormant,107654.0,2021-04-28
A0000199,C000170,Savings,Active,14825.08,2018-05-19
A0000200,C000171,Premium,Active,271414.75,2021-06-10
A0000201,C000172,Salary,Active,9044.34,2022-12-08
A0000202,C000173,Current,Active,154882.11,2020-04-04
A0000203,C000174,Current,Active,20704.36,2018-11-21
A0000204,C000175,Savings,Active,27818.31,2018-10-25
A0000205,C000176,Current,Active,57601.3,2020-09-22
A0000206,C000176,Savings,Active,64343.05,2019-09-21
A0000207,C000177,Current,Active,70522.73,2019-08-08
A0000208,C000177,Current,Active,25213.6,2018-11-05
A0000209,C000178,Savings,Active,6309.08,2020-04-24
A0000210,C000179,Savings,Active,17352.8,2023-03-09
A0000211,C000180,Salary,Active,138646.73,2022-07-26
A0000212,C000180,Savings,Active,164028.12,2019-01-26
A0000213,C000181,Savings,Active,220819.6,2021-02-25
A0000214,C000182,Savings,Active,111697.84,2022-03-18
A0000215,C000183,Savings,Closed,8966.99,2016-02-11
A0000216,C000184,Savings,Active,36286.28,2021-11-05
A0000217,C000184,Savings,Active,36322.37,2018-11-25
A0000218,C000185,Current,Active,6952.79,2020-12-31
A0000219,C000186,Savings,Active,94871.47,2024-11-30
A0000220,C000188,Savings,Closed,11947.32,2023-06-29
A0000221,C000189,Savings,Active,20051.5,2020-03-31
A0000222,C000189,Current,Active,14499.88,2019-09-09
A0000223,C000190,Premium,Active,72200.19,2024-11-30
A0000224,C000190,Salary,Active,17293.13,2024-11-30
A0000225,C000191,Current,Active,105033.64,2024-11-30
A0000226,C000191,Current,Active,128135.43,2024-11-30
A0000227,C000192,Current,Active,11300.09,2024-11-30
A0000228,C000192,Salary,Active,14647.01,2024-10-31
A0000229,C000193,Savings,Active,140998.08,2019-07-23
A0000230,C000193,Salary,Active,88768.32,2020-05-19
A0000231,C000194,Savings,Active,44162.91,2020-01-22
A0000232,C000196,Current,Closed,87858.1,2021-03-09
A0000233,C000196,Salary,Active,279202.96,2023-02-21
A0000234,C000197,Savings,Active,19229.8,2021-11-15
A0000235,C000198,Salary,Active,41894.94,2023-02-14
A0000236,C000199,Savings,Active,133883.43,2016-09-08
A0000237,C000200,Salary,Active,70189.4,2018-12-07
A0000238,C000201,Premium,Active,240858.86,2017-12-19
A0000239,C000202,Salary,Active,20449.67,2024-11-30
A0000240,C000203,Salary,Active,101315.07,2018-11-02
A0000241,C000204,Salary,Active,16040.42,2019-04-16
A0000242,C000205,Salary,Active,117937.51,2021-01-19
A0000243,C000205,Salary,Active,111315.09,2021-09-28
A0000244,C000207,Salary,Active,10419.47,2020-04-13
A0000245,C000207,Current,Active,7480.5,2020-06-01
A0000246,C000208,Savings,Active,8577.58,2024-11-30
A0000247,C000209,Savings,Active,21729.11,2024-11-30
A0000248,C000209,Salary,Active,72477.99,2024-11-30
A0000249,C000210,Savings,Dormant,14216.36,2024-11-30
A0000250,C000210,Premium,Active,39685.67,2024-11-30
A0000251,C000211,Salary,Active,35346.62,2021-12-17
A0000252,C000212,Savings,Active,25185.93,2022-06-30
A0000253,C000213,Savings,Active,11444.64,2024-09-19
A0000254,C000214,Savings,Active,12596.92,2018-12-02
A0000255,C000216,Current,Dormant,30697.03,2024-06-29
A0000256,C000217,Savings,Active,13724.71,2019-03-15
A0000257,C000218,Current,Dormant,56740.03,2019-05-18
A0000258,C000219,Salary,Active,29515.23,2024-03-05
A0000259,C000220,Savings,Dormant,130519.67,2022-07-02
A0000260,C000221,Savings,Active,28984.47,2023-11-23
A0000261,C000222,Salary,Active,43051.04,2019-11-12
A0000262,C000223,Savings,Active,95192.52,2024-07-06
A0000263,C000225,Current,Active,14466.81,2021-11-15
A0000264,C000226,Current,Active,9525.4,2020-02-19
A0000265,C000227,Current,Active,74036.89,2024-11-16
A0000266,C000227,Current,Active,146840.96,2024-11-30
A0000267,C000228,Savings,Active,13459.72,2023-05-03
A0000268,C000229,Salary,Active,9344.1,2022-06-20
A0000269,C000230,Current,Active,42576.02,2021-12-25
A0000270,C000230,Salary,Active,126744.81,2024-09-05
A0000271,C000231,Current,Active,37339.95,2017-12-22
A0000272,C000232,Salary,Active,15958.68,2024-04-26
A0000273,C000233,Current,Active,39672.27,2019-10-04
A0000274,C000234,Salary,Active,25717.76,2020-02-05
A0000275,C000235,Current,Active,54243.38,2018-01-10
A0000276,C000236,Savings,Active,36539.5,2021-09-11
A0000277,C000237,Savings,Active,136247.53,2018-03-20
A0000278,C000238,Current,Active,5195.32,2023-04-16
A0000279,C000238,Salary,Active,25987.05,2023-08-03
A0000280,C000239,Premium,Active,12062.93,2016-08-14
A0000281,C000240,Savings,Active,27553.37,2022-07-11
A0000282,C000240,Salary,Active,46260.01,2020-05-27
A0000283,C000241,Savings,Active,18614.12,2020-07-22
A0000284,C000242,Savings,Active,68513.42,2019-06-01
A0000285,C000243,Current,Active,15909.48,2024-11-30
A0000286,C000244,Salary,Active,19819.28,2023-11-23
A0000287,C000245,Salary,Active,109887.27,2024-11-30
A0000288,C000247,Savings,Active,17090.65,2017-08-29
A0000289,C000249,Salary,Active,41780.87,2024-11-30
A0000290,C000250,Savings,Active,40960.59,2018-09-30
A0000291,C000251,Salary,Active,53059.84,2022-02-06
A0000292,C000252,Savings,Active,39004.69,2020-01-09
A0000293,C000253,Salary,Active,75824.14,2022-11-25
A0000294,C000253,Current,Closed,57437.62,2021-08-24
A0000295,C000254,Savings,Active,42996.62,2024-11-30
A0000296,C000255,Savings,Active,85302.33,2016-08-21
A0000297,C000256,Salary,Active,51319.2,2024-11-30
A0000298,C000256,Savings,Active,19242.6,2024-11-30
A0000299,C000257,Savings,Active,31900.57,2021-10-05
A0000300,C000258,Current,Closed,12495.1,2020-10-22
A0000301,C000259,Salary,Active,49854.97,2024-11-30
A0000302,C000260,Savings,Active,154132.57,2024-11-30
A0000303,C000261,Savings,Active,137477.75,2021-05-14
A0000304,C000262,Salary,Active,507131.61,2018-04-25
A0000305,C000263,Savings,Active,8973.08,2020-11-29
A0000306,C000264,Savings,Active,18014.19,2020-11-03
A0000307,C000265,Current,Active,45194.04,2024-11-30
A0000308,C000266,Current,Active,5266.24,2017-12-06
A0000309,C000267,Savings,Active,27937.92,2023-11-04
A0000310,C000268,Savings,Dormant,27736.83,2024-11-30
A0000311,C000269,Current,Active,22104.97,2020-04-29
A0000312,C000269,Salary,Active,28934.08,2020-12-12
A0000313,C000271,Savings,Active,87705.6,2024-11-30
A0000314,C000272,Salary,Active,76318.81,2024-11-30
A0000315,C000273,Salary,Active,42195.93,2021-01-30
A0000316,C000273,Savings,Active,36493.13,2021-02-19
A0000317,C000274,Savings,Dormant,46365.07,2024-05-06
A0000318,C000276,Salary,Active,19299.66,2024-11-30
A0000319,C000277,Savings,Active,149474.71,2021-06-19
A0000320,C000278,Savings,Active,14463.03,2019-10-06
A0000321,C000279,Savings,Active,8007.71,2020-11-13
A0000322,C000280,Savings,Active,34968.06,2018-03-31
A0000323,C000281,Savings,Active,124102.78,2019-11-21
A0000324,C000282,Savings,Active,31495.5,2020-10-27
A0000325,C000283,Salary,Active,25736.9,2016-11-19
A0000326,C000284,Current,Active,117051.7,2021-04-19
A0000327,C000285,Premium,Active,100966.42,2023-03-28
A0000328,C000285,Savings,Active,17792.52,2024-08-27
A0000329,C000286,Salary,Active,58447.26,2024-11-30
A0000330,C000287,Savings,Active,28019.4,2017-07-17
A0000331,C000290,Salary,Active,11935.24,2023-04-21
A0000332,C000291,Savings,Dormant,32482.03,2017-07-06
A0000333,C000292,Current,Active,23212.96,2024-04-03
A0000334,C000293,Salary,Active,118138.5,2020-12-29
A0000335,C000295,Salary,Active,29855.79,2017-10-05
A0000336,C000296,Savings,Active,75925.87,2023-12-15
A0000337,C000297,Current,Active,22748.22,2017-01-15
A0000338,C000297,Savings,Active,78480.94,2020-02-22
A0000339,C000298,Savings,Active,39626.39,2015-06-12
A0000340,C000298,Current,Dormant,15322.33,2018-07-21
A0000341,C000299,Savings,Active,24959.57,2018-01-17
A0000342,C000301,Current,Active,8231.3,2018-09-11
A0000343,C000302,Savings,Active,62205.82,2024-11-30
A0000344,C000302,Savings,Active,23529.97,2024-11-30
A0000345,C000303,Savings,Active,145408.09,2021-10-19
A0000346,C000304,Salary,Active,94237.91,2019-02-17
A0000347,C000305,Salary,Active,108441.96,2019-01-30
A0000348,C000306,Current,Active,17376.52,2018-11-13
A0000349,C000307,Salary,Active,44407.23,2023-01-31
A0000350,C000307,Salary,Active,26263.7,2024-11-30
A0000351,C000308,Premium,Active,21644.99,2019-07-11
A0000352,C000308,Savings,Active,28221.31,2020-01-20
A0000353,C000309,Salary,Active,30160.59,2024-04-14
A0000354,C000310,Premium,Active,70363.32,2021-05-23
A0000355,C000311,Savings,Active,21807.85,2019-07-29
A0000356,C000312,Savings,Active,32157.7,2020-06-24
A0000357,C000315,Premium,Active,56535.32,2023-07-11
A0000358,C000317,Salary,Active,5546.04,2018-04-23
A0000359,C000318,Salary,Active,37105.75,2022-02-17
A0000360,C000319,Current,Active,30421.77,2015-10-02
A0000361,C000320,Savings,Closed,56069.22,2022-05-23
A0000362,C000320,Savings,Active,59969.54,2022-09-27
A0000363,C000321,Salary,Active,285455.13,2020-08-29
A0000364,C000322,Salary,Active,36498.01,2024-11-30
A0000365,C000322,Salary,Active,34468.27,2024-07-13
A0000366,C000323,Savings,Closed,58720.54,2017-04-05
A0000367,C000324,Savings,Active,59689.63,2024-11-30
A0000368,C000325,Salary,Active,40963.27,2024-11-30
A0000369,C000326,Salary,Closed,4036.24,2020-10-10
A0000370,C000327,Savings,Active,44572.45,2021-01-27
A0000371,C000328,Savings,Active,34696.22,2024-07-12
A0000372,C000329,Salary,Active,16209.94,2024-08-06
A0000373,C000330,Savings,Dormant,69012.21,2019-06-22
A0000374,C000330,Savings,Active,101030.63,2020-09-13
A0000375,C000331,Salary,Active,38408.22,2018-07-07
A0000376,C000332,Savings,Active,249950.03,2020-07-23
A0000377,C000334,Premium,Active,23609.42,2020-09-18
A0000378,C000335,Savings,Dormant,68820.16,2024-02-01
A0000379,C000336,Savings,Active,110030.81,2022-11-18
A0000380,C000336,Savings,Active,84337.67,2022-04-28
A0000381,C000337,Savings,Active,67064.38,2024-09-19
A0000382,C000339,Savings,Active,40513.37,2024-11-30
A0000383,C000339,Current,Active,27875.57,2024-11-30
A0000384,C000341,Savings,Active,67063.29,2020-05-11
A0000385,C000342,Savings,Active,530870.56,2020-12-25
A0000386,C000344,Premium,Active,389562.2,2024-11-30
A0000387,C000345,Savings,Active,15200.43,2023-09-30
A0000388,C000345,Current,Dormant,2742.29,2023-05-31
A0000389,C000347,Current,Active,93276.82,2023-09-14
A0000390,C000348,Salary,Active,15681.91,2024-10-06
A0000391,C000349,Savings,Active,45027.3,2024-11-30
A0000392,C000349,Current,Active,17039.53,2024-04-01
A0000393,C000350,Savings,Active,138440.29,2021-09-08
A0000394,C000351,Current,Active,9000.94,2016-11-30
A0000395,C000351,Savings,Active,41957.16,2019-02-20
A0000396,C000352,Savings,Active,13568.03,2020-10-20
A0000397,C000354,Premium,Active,166869.24,2024-10-29
A0000398,C000355,Savings,Active,49014.81,2020-03-19
A0000399,C000356,Savings,Active,65084.75,2017-07-02
A0000400,C000357,Savings,Active,46066.02,2020-04-03
A0000401,C000357,Savings,Active,26719.88,2019-08-05
A0000402,C000359,Savings,Active,15504.85,2024-11-30
A0000403,C000360,Savings,Active,124811.02,2019-09-25
A0000404,C000361,Savings,Active,72677.84,2024-11-30
A0000405,C000362,Premium,Active,102793.98,2024-11-30
A0000406,C000363,Savings,Active,40196.95,2024-11-30
A0000407,C000363,Savings,Active,33356.2,2023-09-24
A0000408,C000364,Savings,Dormant,38656.92,2021-04-04
A0000409,C000364,Savings,Closed,185025.81,2020-01-17
A0000410,C000365,Savings,Active,37500.63,2021-11-29
A0000411,C000367,Premium,Active,39971.08,2015-12-25
A0000412,C000368,Current,Active,36388.56,2022-12-22
A0000413,C000369,Salary,Dormant,49209.85,2021-02-13
A0000414,C000370,Savings,Active,346796.47,2020-06-21
A0000415,C000371,Salary,Active,32348.44,2024-06-08
A0000416,C000372,Savings,Active,18990.51,2024-11-30
A0000417,C000373,Salary,Active,94460.3,2017-08-08
A0000418,C000377,Savings,Active,8542.12,2016-12-10
A0000419,C000377,Savings,Active,17899.73,2017-04-07
A0000420,C000378,Premium,Closed,35935.02,2024-11-30
A0000421,C000379,Current,Active,22874.79,2022-10-21
A0000422,C000380,Savings,Active,128843.44,2024-11-30
A0000423,C000382,Salary,Active,157214.67,2024-11-30
A0000424,C000382,Salary,Active,218001.61,2023-07-15
A0000425,C000383,Salary,Active,43651.5,2020-02-11
A0000426,C000384,Salary,Dormant,4112.48,2022-05-14
A0000427,C000385,Savings,Active,113860.02,2020-01-03
A0000428,C000387,Savings,Active,19525.67,2021-09-24
A0000429,C000387,Savings,Active,35815.45,2020-04-26
A0000430,C000388,Current,Active,128508.87,2022-09-30
A0000431,C000389,Salary,Dormant,11256.97,2024-07-19
A0000432,C000389,Current,Active,15771.96,2024-11-30
A0000433,C000390,Current,Active,11117.24,2023-05-02
A0000434,C000393,Salary,Active,137610.17,2020-07-19
A0000435,C000394,Current,Dormant,28976.35,2022-11-28
A0000436,C000395,Savings,Active,43272.66,2020-04-12
A0000437,C000395,Salary,Active,129458.26,2021-03-02
A0000438,C000396,Current,Active,8430.93,2024-04-07
A0000439,C000396,Savings,Active,24951.48,2023-03-19
A0000440,C000397,Current,Active,19931.27,2016-07-19
A0000441,C000398,Current,Active,3946.05,2015-12-31
A0000442,C000398,Savings,Active,3122.51,2018-12-25
A0000443,C000400,Current,Active,105039.3,2023-05-24
A0000444,C000401,Salary,Active,161119.82,2018-11-29
A0000445,C000402,Savings,Active,15569.48,2021-11-27
A0000446,C000403,Savings,Active,81973.78,2024-11-30
A0000447,C000404,Savings,Active,20095.5,2021-04-10
A0000448,C000405,Savings,Active,13366.76,2024-11-30
A0000449,C000405,Savings,Active,19195.54,2024-11-30
A0000450,C000406,Savings,Active,107884.59,2020-05-21
A0000451,C000407,Savings,Active,150133.93,2022-06-16
A0000452,C000408,Salary,Active,58110.97,2019-06-05
A0000453,C000409,Current,Active,33645.37,2021-05-10
A0000454,C000410,Savings,Active,8890.24,2020-02-29
A0000455,C000410,Premium,Active,26194.42,2020-08-23
A0000456,C000411,Savings,Active,14603.29,2017-01-17
A0000457,C000411,Salary,Active,13222.82,2019-11-13
A0000458,C000412,Salary,Active,56761.48,2019-03-05
A0000459,C000412,Savings,Dormant,16817.49,2017-07-01
A0000460,C000413,Savings,Active,8001.14,2019-01-15
A0000461,C000416,Current,Active,115362.85,2019-11-30
A0000462,C000417,Current,Active,9568.53,2023-09-14
A0000463,C000418,Current,Active,28739.46,2017-05-16
A0000464,C000418,Salary,Active,23244.72,2016-01-26
A0000465,C000419,Current,Active,12667.83,2023-03-18
A0000466,C000420,Current,Active,17086.57,2018-11-22
A0000467,C000420,Premium,Active,61548.27,2017-06-01
A0000468,C000421,Savings,Active,35783.11,2019-10-20
A0000469,C000423,Salary,Active,54780.86,2023-07-29
A0000470,C000423,Current,Active,50917.13,2024-11-30
A0000471,C000425,Salary,Closed,277828.06,2019-09-07
A0000472,C000426,Current,Active,12025.27,2024-08-20
A0000473,C000427,Current,Active,12748.74,2024-11-30
A0000474,C000428,Savings,Active,43362.9,2021-11-07
A0000475,C000428,Salary,Active,10710.19,2024-06-14
A0000476,C000429,Salary,Active,61738.48,2018-04-08
A0000477,C000429,Current,Dormant,42485.19,2020-02-25
A0000478,C000431,Savings,Active,49431.88,2015-12-29
A0000479,C000432,Savings,Active,20379.76,2024-07-21
A0000480,C000434,Savings,Active,5129.42,2023-02-12
A0000481,C000435,Savings,Active,32855.25,2023-10-20
A0000482,C000435,Savings,Active,19323.93,2023-03-03
A0000483,C000436,Premium,Active,1328448.93,2021-12-31
A0000484,C000437,Current,Active,7555.27,2019-11-16
A0000485,C000437,Current,Dormant,11478.25,2021-05-24
A0000486,C000438,Savings,Active,68353.57,2016-05-13
A0000487,C000439,Salary,Active,200385.33,2019-05-06
A0000488,C000440,Current,Active,3142.13,2017-02-15
A0000489,C000441,Salary,Active,22117.42,2023-08-22
A0000490,C000441,Savings,Active,23591.76,2023-07-15
A0000491,C000442,Savings,Active,21838.54,2016-01-23
A0000492,C000443,Savings,Dormant,98635.08,2024-11-30
A0000493,C000444,Savings,Active,41913.92,2017-12-29
A0000494,C000444,Savings,Active,45338.08,2016-01-12
A0000495,C000445,Salary,Active,40554.56,2023-04-15
A0000496,C000446,Current,Active,28216.23,2024-11-30
A0000497,C000447,Premium,Active,63570.82,2019-04-25
A0000498,C000447,Current,Dormant,69701.88,2017-11-30
