application_id,customer_id,loan_id,loan_type,requested_amount,application_date,decision_date,application_status
APP0000748,C007654,L0000748,Education,1175471.18,2022-12-30,2023-01-11,Approved
APP0009761,C004701,L0009761,Education,1999808.32,2021-02-16,2021-02-20,Approved
APP0029613,C008302,,Personal,924012.71,2023-06-27,2023-06-28,Withdrawn
APP0019993,C003303,L0019993,Auto,2246956.43,2021-06-04,2021-06-05,Approved
APP0023190,C002379,,Auto,2336335.51,2024-10-16,2024-10-23,Withdrawn
APP0025536,C001558,,Personal,707101.36,2021-11-30,2021-12-12,Rejected
APP0017964,C003675,L0017964,Business,1521283.55,2021-11-26,2021-11-27,Approved
APP0025247,C002136,,Mortgage,2838982.95,2024-08-17,2024-08-29,Withdrawn
APP0005082,C005539,L0005082,Education,1052073.41,2021-10-17,2021-10-25,Approved
APP0009351,C002993,L0009351,Education,865539.2,2023-03-31,2023-04-01,Approved
APP0010983,C000631,L0010983,Auto,2032119.26,2023-02-11,2023-02-20,Approved
APP0023622,C007510,,Personal,544385.85,2022-07-21,2022-07-30,Rejected
APP0013236,C001427,L0013236,Business,1532654.17,2022-06-19,2022-06-21,Approved
APP0019368,C007622,L0019368,Personal,1284832.15,2022-07-19,2022-07-29,Approved
APP0001191,C007297,L0001191,Mortgage,1112244.72,2023-10-06,2023-10-20,Approved
APP0000822,C004268,L0000822,Personal,247035.77,2023-11-21,2023-12-04,Approved
APP0015879,C000798,L0015879,Business,1889607.99,2024-05-02,2024-05-13,Approved
APP0020498,C001879,L0020498,Personal,1229386.42,2021-09-10,2021-09-14,Approved
APP0009420,C003619,L0009420,Business,4068656.23,2023-08-31,2023-09-16,Approved
APP0028101,C006000,,Personal,368054.57,2021-06-21,2021-06-27,Withdrawn
APP0008893,C003523,L0008893,Personal,1500000.0,2024-05-21,2024-05-22,Approved
APP0004462,C004069,L0004462,Auto,2516464.49,2024-06-04,2024-06-05,Approved
APP0025230,C009726,,Business,1072760.36,2024-10-21,2024-11-02,Rejected
APP0029986,C003037,,Mortgage,8437283.65,2024-09-27,2024-09-28,Withdrawn
APP0012607,C006339,L0012607,Business,3256444.29,2022-03-02,2022-03-15,Approved
APP0025979,C001091,,Personal,722445.17,2022-09-14,2022-09-22,Rejected
APP0019133,C006024,L0019133,Personal,242197.24,2022-07-04,2022-07-10,Approved
APP0014741,C006512,L0014741,Mortgage,3520610.93,2021-06-11,2021-06-12,Approved
APP0012147,C003057,L0012147,Personal,706962.89,2024-04-23,2024-05-10,Approved
APP0002745,C004427,L0002745,Business,588674.38,2022-10-21,2022-11-02,Approved
APP0010115,C004825,L0010115,Mortgage,5536028.69,2023-07-24,2023-08-10,Approved
APP0002384,C005855,L0002384,Auto,599158.32,2024-05-20,2024-05-30,Approved
APP0009154,C004338,L0009154,Mortgage,13487881.82,2023-09-30,2023-10-12,Approved
APP0001407,C009026,L0001407,Personal,281779.32,2021-08-10,2021-08-22,Approved
APP0016561,C004578,L0016561,Personal,569835.99,2021-04-20,2021-05-02,Approved
APP0019362,C007080,L0019362,Mortgage,10288269.01,2024-04-30,2024-05-13,Approved
APP0010343,C000605,L0010343,Mortgage,12863104.84,2023-08-19,2023-08-21,Approved
APP0027757,C000950,,Personal,447513.11,2023-04-25,2023-05-07,Rejected
APP0017615,C004041,L0017615,Education,1453089.13,2023-04-26,2023-05-05,Approved
APP0019907,C006585,L0019907,Mortgage,15000000.0,2022-05-30,2022-06-06,Approved
APP0024531,C006760,,Auto,3918661.32,2021-08-16,2021-08-22,Rejected
APP0027309,C001160,,Business,2327123.27,2023-09-28,2023-10-07,Rejected
APP0017789,C000337,L0017789,Auto,2497587.28,2023-03-18,2023-03-21,Approved
APP0013076,C008544,L0013076,Education,939432.48,2022-07-28,2022-08-09,Approved
APP0022090,C007035,,Personal,432571.93,2021-03-13,2021-03-20,Rejected
APP0028574,C009942,,Business,4822919.37,2024-09-27,2024-10-10,Rejected
APP0020569,C009573,L0020569,Education,2000000.0,2022-05-19,2022-06-05,Approved
APP0017891,C006762,L0017891,Education,414092.71,2022-03-26,2022-04-11,Approved
APP0016838,C002231,L0016838,Business,6025871.47,2022-06-27,2022-07-13,Approved
APP0006553,C005071,L0006553,Auto,3464816.06,2021-02-11,2021-02-25,Approved
APP0019638,C006606,L0019638,Personal,989138.17,2024-10-21,2024-11-03,Approved
APP0018295,C001161,L0018295,Personal,80679.64,2021-03-08,2021-03-15,Approved
APP0002877,C002114,L0002877,Mortgage,6491070.92,2024-04-26,2024-05-05,Approved
APP0002983,C000882,L0002983,Business,8000000.0,2023-12-19,2023-12-21,Approved
APP0017411,C001286,L0017411,Auto,394478.19,2024-07-29,2024-08-03,Approved
APP0015163,C009506,L0015163,Business,2736257.83,2023-07-21,2023-08-01,Approved
APP0002154,C000863,L0002154,Auto,2186501.39,2024-03-17,2024-03-31,Approved
APP0018701,C009390,L0018701,Business,2266961.41,2022-01-28,2022-01-30,Approved
APP0007668,C005235,L0007668,Auto,3084039.96,2024-03-06,2024-03-07,Approved
APP0015244,C004717,L0015244,Business,1918225.44,2022-01-02,2022-01-16,Approved
APP0016858,C009333,L0016858,Personal,205178.82,2021-06-24,2021-06-28,Approved
APP0013962,C008445,L0013962,Business,4827125.0,2022-09-30,2022-10-07,Approved
APP0000218,C006140,L0000218,Personal,287323.29,2022-11-23,2022-11-25,Approved
APP0023288,C005613,,Auto,2322790.5,2024-10-25,2024-10-31,Withdrawn
APP0002214,C005217,L0002214,Auto,1472612.25,2024-02-24,2024-02-25,Approved
APP0006581,C009280,L0006581,Auto,2630196.09,2022-02-20,2022-02-26,Approved
APP0027603,C008367,,Mortgage,10538663.05,2022-11-14,2022-11-28,Rejected
APP0019377,C003753,L0019377,Business,5403902.87,2024-07-01,2024-07-13,Approved
APP0007540,C005640,L0007540,Education,322561.22,2023-06-16,2023-06-18,Approved
APP0014977,C001520,L0014977,Personal,1186562.3,2022-06-29,2022-07-09,Approved
APP0010129,C007908,L0010129,Auto,552482.47,2023-10-28,2023-11-14,Approved
APP0005706,C003490,L0005706,Business,5819583.16,2022-05-30,2022-06-02,Approved
APP0005954,C000356,L0005954,Mortgage,3892473.55,2022-02-09,2022-02-21,Approved
APP0000539,C002683,L0000539,Business,4900818.11,2022-08-30,2022-09-10,Approved
APP0021664,C005854,L0021664,Personal,942552.32,2022-01-11,2022-01-13,Approved
APP0021568,C003265,L0021568,Business,2510912.61,2021-02-06,2021-02-19,Approved
APP0028983,C008849,,Education,1014299.74,2023-03-23,2023-04-06,Rejected
APP0007428,C004131,L0007428,Mortgage,2519722.83,2024-02-27,2024-03-09,Approved
APP0020726,C005063,L0020726,Business,5212961.69,2021-07-23,2021-07-27,Approved
APP0004182,C004654,L0004182,Education,549339.41,2021-02-27,2021-03-16,Approved
APP0018702,C004588,L0018702,Auto,866496.78,2023-03-28,2023-03-31,Approved
APP0015415,C006847,L0015415,Personal,431683.41,2023-09-12,2023-09-13,Approved
APP0012155,C004369,L0012155,Business,2120285.16,2021-01-06,2021-01-17,Approved
APP0000580,C009493,L0000580,Business,3807348.28,2024-02-13,2024-03-01,Approved
APP0002169,C005064,L0002169,Auto,2505598.37,2023-08-29,2023-09-04,Approved
APP0024420,C006423,,Personal,1215966.88,2022-08-10,2022-08-18,Rejected
APP0000251,C004136,L0000251,Personal,1038305.15,2021-10-04,2021-10-18,Approved
APP0015693,C008728,L0015693,Education,1103245.22,2022-12-19,2023-01-02,Approved
APP0009972,C009731,L0009972,Auto,3110678.26,2022-04-10,2022-04-13,Approved
APP0016181,C002029,L0016181,Mortgage,11542730.22,2022-04-04,2022-04-17,Approved
APP0011490,C000332,L0011490,Mortgage,15000000.0,2023-10-19,2023-10-24,Approved
APP0009145,C001746,L0009145,Mortgage,3541147.85,2021-10-08,2021-10-16,Approved
APP0029433,C001093,,Personal,1030984.27,2021-03-27,2021-03-31,Withdrawn
APP0025791,C006850,,Auto,2042974.78,2023-05-10,2023-05-12,Rejected
APP0005772,C009069,L0005772,Mortgage,12161084.81,2024-09-07,2024-09-17,Approved
APP0026747,C008774,,Auto,1072819.22,2024-04-05,2024-04-18,Rejected
APP0002326,C008489,L0002326,Personal,921090.58,2021-07-05,2021-07-20,Approved
APP0015431,C004605,L0015431,Personal,625360.66,2024-09-27,2024-10-01,Approved
APP0000431,C007989,L0000431,Personal,872677.15,2024-08-06,2024-08-12,Approved
APP0010769,C009117,L0010769,Personal,1172142.43,2022-09-29,2022-10-01,Approved
APP0002533,C009309,L0002533,Business,4244413.34,2022-10-02,2022-10-03,Approved
APP0002458,C005645,L0002458,Mortgage,7841034.6,2022-02-26,2022-03-11,Approved
APP0019187,C006589,L0019187,Personal,1320074.03,2023-05-07,2023-05-22,Approved
APP0027236,C007996,,Personal,212577.62,2024-04-16,2024-04-23,Rejected
APP0022292,C008788,,Education,1420904.44,2024-09-08,2024-09-14,Rejected
APP0011213,C005385,L0011213,Personal,653975.94,2023-10-08,2023-10-11,Approved
APP0000506,C008043,L0000506,Business,2293951.04,2021-04-10,2021-04-27,Approved
APP0023113,C003546,,Auto,1254560.55,2022-02-12,2022-02-16,Rejected
APP0018780,C000759,L0018780,Personal,506477.25,2022-03-15,2022-03-19,Approved
APP0019083,C002504,L0019083,Personal,1269481.57,2024-05-06,2024-05-20,Approved
APP0017895,C008460,L0017895,Education,973319.09,2022-04-05,2022-04-20,Approved
APP0019007,C002514,L0019007,Personal,462747.62,2022-05-16,2022-05-25,Approved
APP0019691,C002884,L0019691,Personal,315338.96,2023-05-06,2023-05-12,Approved
APP0027094,C005228,,Personal,511867.4,2023-11-02,2023-11-13,Withdrawn
APP0023180,C003805,,Mortgage,8690521.67,2023-01-30,2023-02-06,Rejected
APP0012627,C003430,L0012627,Education,1157225.71,2023-10-12,2023-10-17,Approved
APP0003835,C005051,L0003835,Personal,1178924.03,2024-06-28,2024-07-13,Approved
APP0001331,C000116,L0001331,Auto,527568.96,2021-03-03,2021-03-19,Approved
APP0021467,C005280,L0021467,Business,5589426.82,2022-08-03,2022-08-13,Approved
APP0023829,C006455,,Personal,459685.89,2022-12-05,2022-12-17,Rejected
APP0002542,C001439,L0002542,Business,2076882.57,2022-03-12,2022-03-20,Approved
APP0028613,C006491,,Auto,1703139.47,2024-03-28,2024-03-29,Rejected
APP0021996,C005942,L0021996,Personal,958370.19,2021-03-19,2021-03-24,Approved
APP0011900,C005822,L0011900,Mortgage,8307668.67,2021-08-04,2021-08-11,Approved
APP0025873,C002800,,Mortgage,2794729.81,2024-03-08,2024-03-22,Rejected
APP0026226,C000734,,Personal,279097.44,2021-09-19,2021-09-29,Withdrawn
APP0015806,C001198,L0015806,Education,1474190.49,2024-02-03,2024-02-15,Approved
APP0009556,C004260,L0009556,Mortgage,15000000.0,2021-06-08,2021-06-12,Approved
APP0007568,C004966,L0007568,Personal,1274692.94,2023-02-04,2023-02-06,Approved
APP0003508,C008687,L0003508,Personal,170451.93,2023-10-29,2023-10-31,Approved
APP0008835,C004812,L0008835,Business,2474244.17,2023-08-07,2023-08-15,Approved
APP0018785,C001395,L0018785,Personal,336390.14,2022-09-14,2022-09-23,Approved
APP0029858,C008480,,Personal,614700.85,2021-04-29,2021-05-05,Withdrawn
APP0023588,C006027,,Personal,474431.28,2022-08-21,2022-08-24,Withdrawn
APP0028268,C002901,,Mortgage,8778619.23,2022-09-16,2022-09-25,Rejected
APP0005845,C007713,L0005845,Auto,3101158.9,2022-08-16,2022-08-21,Approved
APP0026477,C000353,,Auto,539399.6,2023-08-09,2023-08-10,Rejected
APP0024199,C003428,,Personal,812307.2,2023-04-01,2023-04-09,Rejected
APP0028882,C005706,,Auto,1943336.73,2023-06-05,2023-06-12,Rejected
APP0004846,C004918,L0004846,Education,140979.58,2024-05-03,2024-05-15,Approved
APP0004986,C007191,L0004986,Business,2003177.01,2021-01-22,2021-02-03,Approved
APP0023400,C007923,,Business,5332007.79,2023-10-14,2023-10-18,Withdrawn
APP0025570,C008143,,Personal,109891.69,2023-02-26,2023-03-01,Withdrawn
APP0020263,C001392,L0020263,Personal,724757.85,2023-10-30,2023-11-14,Approved
APP0020857,C000049,L0020857,Auto,651319.5,2021-06-04,2021-06-21,Approved
APP0026823,C008626,,Personal,876680.55,2024-06-27,2024-07-08,Rejected
APP0009318,C000974,L0009318,Mortgage,8600150.36,2022-08-29,2022-09-07,Approved
APP0025507,C004910,,Personal,1141255.15,2023-03-12,2023-03-18,Rejected
APP0014848,C008107,L0014848,Business,4779931.57,2023-06-16,2023-06-28,Approved
APP0007843,C003131,L0007843,Mortgage,10034769.98,2023-10-26,2023-10-31,Approved
APP0028648,C009394,,Personal,1098917.22,2022-02-13,2022-02-18,Rejected
APP0029985,C002276,,Education,1112779.98,2021-01-29,2021-02-10,Withdrawn
APP0013049,C008313,L0013049,Personal,88514.09,2023-10-06,2023-10-18,Approved
APP0025100,C009351,,Auto,2797782.81,2021-05-25,2021-06-04,Rejected
APP0014857,C008325,L0014857,Education,1587135.37,2021-12-02,2021-12-08,Approved
APP0025014,C002635,,Personal,186108.95,2022-07-27,2022-08-08,Rejected
APP0010740,C001218,L0010740,Mortgage,4384910.08,2021-06-18,2021-06-28,Approved
APP0016095,C004356,L0016095,Mortgage,6884118.53,2022-11-23,2022-11-30,Approved
APP0002209,C000302,L0002209,Personal,437061.27,2022-11-24,2022-12-06,Approved
APP0018841,C000148,L0018841,Personal,945455.42,2022-12-18,2023-01-01,Approved
APP0028273,C004555,,Mortgage,5470448.06,2023-10-11,2023-10-25,Withdrawn
APP0022373,C006326,,Personal,543026.88,2023-03-30,2023-04-02,Rejected
APP0002267,C000193,L0002267,Personal,243137.99,2021-06-10,2021-06-22,Approved
APP0005227,C009509,L0005227,Business,1955155.68,2024-05-18,2024-05-21,Approved
APP0028302,C008944,,Auto,1708704.91,2022-08-30,2022-09-03,Rejected
APP0021579,C009554,L0021579,Personal,964467.36,2021-05-03,2021-05-05,Approved
APP0020123,C004186,L0020123,Personal,861516.32,2021-09-13,2021-09-22,Approved
APP0017893,C003947,L0017893,Education,1323085.83,2021-04-21,2021-04-24,Approved
APP0020928,C003353,L0020928,Personal,591534.01,2023-05-30,2023-06-06,Approved
APP0013023,C000181,L0013023,Mortgage,3428477.56,2022-03-17,2022-03-19,Approved
APP0020737,C005193,L0020737,Personal,865351.0,2021-04-12,2021-04-17,Approved
APP0027367,C009478,,Auto,1176000.77,2024-01-16,2024-01-30,Rejected
APP0011741,C007607,L0011741,Auto,3738767.7,2024-04-15,2024-05-01,Approved
APP0006548,C007972,L0006548,Education,880287.16,2024-07-24,2024-08-03,Approved
APP0003283,C000173,L0003283,Personal,1500000.0,2021-02-23,2021-03-11,Approved
APP0015615,C005593,L0015615,Auto,2346551.82,2024-05-20,2024-05-28,Approved
APP0023662,C000791,,Personal,376538.64,2022-07-26,2022-08-07,Rejected
APP0002277,C005634,L0002277,Auto,1972669.06,2022-10-12,2022-10-16,Approved
APP0026051,C005289,,Personal,1328705.99,2024-04-16,2024-04-22,Rejected
APP0012355,C000262,L0012355,Mortgage,15000000.0,2022-03-03,2022-03-10,Approved
APP0016486,C004442,L0016486,Education,1075471.94,2021-12-11,2021-12-24,Approved
APP0019536,C005708,L0019536,Personal,1500000.0,2024-07-20,2024-07-30,Approved
APP0018674,C003030,L0018674,Auto,3311108.24,2021-09-30,2021-10-05,Approved
APP0008697,C006733,L0008697,Mortgage,10233881.25,2021-01-23,2021-02-04,Approved
APP0022565,C008520,,Education,240966.18,2022-06-11,2022-06-22,Rejected
APP0016380,C005564,L0016380,Personal,1500000.0,2024-01-04,2024-01-16,Approved
APP0025295,C003255,,Business,3279344.49,2023-03-02,2023-03-08,Rejected
APP0028681,C009477,,Mortgage,11120175.99,2024-06-07,2024-06-15,Withdrawn
APP0024992,C003915,,Mortgage,14682108.77,2022-05-25,2022-06-04,Withdrawn
APP0029670,C006225,,Mortgage,9184861.58,2021-04-26,2021-05-07,Rejected
APP0005837,C007872,L0005837,Personal,1462220.75,2023-08-31,2023-09-04,Approved
APP0010236,C005487,L0010236,Personal,286864.33,2024-03-06,2024-03-15,Approved
APP0022825,C007096,,Mortgage,2450901.53,2021-09-28,2021-09-30,Rejected
APP0000280,C005793,L0000280,Auto,682105.34,2021-03-12,2021-03-25,Approved
APP0022377,C004256,,Personal,1217083.24,2023-10-22,2023-10-24,Withdrawn
APP0025274,C008277,,Auto,2778149.49,2024-04-03,2024-04-07,Rejected
APP0005161,C002085,L0005161,Mortgage,4197174.48,2022-02-08,2022-02-10,Approved
APP0029753,C003371,,Business,4805314.76,2024-04-24,2024-04-29,Rejected
APP0003691,C005999,L0003691,Auto,2863008.01,2023-06-01,2023-06-06,Approved
APP0005916,C006647,L0005916,Business,6721117.02,2022-03-29,2022-04-15,Approved
APP0011579,C005592,L0011579,Personal,556427.05,2024-06-11,2024-06-24,Approved
APP0018079,C001407,L0018079,Personal,1021335.03,2021-05-29,2021-06-12,Approved
APP0019537,C002777,L0019537,Personal,111644.93,2021-08-21,2021-08-25,Approved
APP0026024,C009413,,Personal,539480.66,2023-11-22,2023-11-26,Rejected
APP0029720,C008434,,Mortgage,4676344.99,2021-11-17,2021-11-22,Withdrawn
APP0021740,C001607,L0021740,Mortgage,11516063.26,2021-01-21,2021-02-01,Approved
APP0025744,C005710,,Personal,816359.47,2022-11-08,2022-11-11,Rejected
APP0020553,C005066,L0020553,Mortgage,2723734.3,2022-06-09,2022-06-23,Approved
APP0011703,C000342,L0011703,Personal,1230922.72,2024-02-09,2024-02-23,Approved
APP0011515,C005854,L0011515,Mortgage,2885598.52,2022-06-18,2022-06-29,Approved
APP0009007,C009732,L0009007,Personal,1021167.21,2024-09-24,2024-09-29,Approved
APP0011743,C005768,L0011743,Mortgage,1876474.71,2022-01-18,2022-01-26,Approved
APP0028262,C009251,,Auto,3131934.13,2022-09-24,2022-10-07,Rejected
APP0016470,C005643,L0016470,Mortgage,6196988.12,2021-06-11,2021-06-20,Approved
APP0013677,C009028,L0013677,Business,2144489.96,2023-10-27,2023-11-05,Approved
APP0020164,C003717,L0020164,Education,1524709.73,2022-08-05,2022-08-09,Approved
APP0016786,C005310,L0016786,Education,331471.16,2023-07-15,2023-07-31,Approved
APP0029323,C005925,,Personal,619989.4,2024-06-24,2024-07-05,Rejected
APP0015694,C008532,L0015694,Education,2000000.0,2022-09-05,2022-09-22,Approved
APP0017336,C006537,L0017336,Auto,393869.14,2022-07-23,2022-08-09,Approved
APP0003736,C006182,L0003736,Personal,735376.78,2021-08-30,2021-09-08,Approved
APP0025485,C004802,,Business,4167146.53,2024-03-23,2024-04-05,Withdrawn
APP0003644,C006654,L0003644,Mortgage,13163117.56,2022-04-14,2022-04-22,Approved
APP0007199,C001910,L0007199,Mortgage,6601840.27,2023-12-01,2023-12-14,Approved
APP0025366,C004038,,Mortgage,7338537.33,2024-03-31,2024-04-14,Withdrawn
APP0024937,C004039,,Personal,1089831.95,2022-10-10,2022-10-19,Rejected
APP0021306,C003545,L0021306,Personal,986408.53,2023-12-24,2024-01-06,Approved
APP0029366,C003365,,Mortgage,10868481.35,2024-09-17,2024-09-24,Rejected
APP0021524,C003782,L0021524,Auto,4000000.0,2022-09-05,2022-09-18,Approved
APP0021719,C007043,L0021719,Business,3078349.54,2024-05-07,2024-05-17,Approved
APP0001838,C008729,L0001838,Personal,358463.11,2024-06-17,2024-06-30,Approved
APP0029916,C008682,,Mortgage,6357408.39,2022-09-28,2022-10-09,Rejected
APP0010985,C000416,L0010985,Education,277488.71,2022-06-13,2022-06-19,Approved
APP0009304,C003963,L0009304,Education,2000000.0,2022-10-21,2022-10-25,Approved
APP0012800,C008192,L0012800,Personal,732382.25,2022-01-23,2022-01-24,Approved
APP0001458,C001955,L0001458,Personal,1163549.52,2021-09-29,2021-10-05,Approved
APP0001093,C003708,L0001093,Auto,1483214.03,2022-10-21,2022-11-07,Approved
APP0004150,C000985,L0004150,Mortgage,10020541.82,2022-06-25,2022-07-12,Approved
APP0011009,C007469,L0011009,Auto,2484609.13,2023-03-10,2023-03-25,Approved
APP0027069,C009784,,Mortgage,7526127.44,2024-05-12,2024-05-15,Rejected
APP0009190,C002285,L0009190,Business,7328002.2,2022-08-26,2022-08-27,Approved
APP0004933,C006726,L0004933,Personal,679788.3,2021-03-18,2021-03-23,Approved
APP0014466,C002895,L0014466,Personal,221710.57,2023-12-06,2023-12-17,Approved
APP0004557,C005993,L0004557,Personal,163206.49,2024-09-16,2024-10-02,Approved
APP0011489,C000846,L0011489,Business,8000000.0,2022-08-15,2022-08-24,Approved
APP0012075,C003302,L0012075,Mortgage,8241188.32,2022-05-16,2022-05-18,Approved
APP0025102,C002549,,Business,1465597.54,2024-04-10,2024-04-14,Withdrawn
APP0016798,C003287,L0016798,Personal,1500000.0,2021-11-02,2021-11-19,Approved
APP0020071,C006203,L0020071,Business,2712476.74,2022-06-07,2022-06-24,Approved
APP0014419,C002356,L0014419,Mortgage,8882255.47,2024-09-30,2024-10-07,Approved
APP0028246,C002843,,Personal,883746.1,2023-09-08,2023-09-09,Withdrawn
APP0025390,C001007,,Auto,1442667.3,2021-02-06,2021-02-13,Withdrawn
APP0024997,C001150,,Mortgage,10826284.84,2021-10-03,2021-10-11,Rejected
APP0017279,C009368,L0017279,Personal,402783.38,2023-03-13,2023-03-23,Approved
APP0006482,C004878,L0006482,Business,6642022.61,2021-06-03,2021-06-19,Approved
