loan_id,customer_id,loan_type,loan_amount,outstanding_amount,interest_rate,loan_term_months,loan_status,application_date,disbursement_date,maturity_date
L0000049,C003030,Personal,364068.69,323707.4,12.05,36,Current,2024-06-06,2024-06-20,2027-06-20
L0000050,C005435,Mortgage,1801998.1,1664232.12,8.39,240,Current,2024-08-23,2024-08-25,2044-08-25
L0000051,C005985,Business,4327687.04,0.0,14.57,36,Paid Off,2021-09-11,2021-10-15,2024-10-15
L0000052,C008462,Business,6135034.34,5216476.24,11.09,60,Current,2024-03-19,2024-03-26,2029-03-26
L0000053,C002178,Auto,4000000.0,3172214.39,12.19,60,Current,2022-11-08,2022-11-13,2027-11-13
L0000054,C007406,Education,643589.17,244483.91,9.57,24,Default,2022-04-26,2022-05-01,2024-05-01
L0000055,C006720,Business,5008198.66,0.0,12.2,24,Paid Off,2021-02-11,2021-03-06,2023-03-06
L0000056,C001565,Personal,708530.13,476490.46,17.77,60,Current,2023-03-19,2023-03-31,2028-03-31
L0000057,C006313,Personal,603386.25,309267.51,15.3,60,Current,2021-07-29,2021-08-27,2026-08-27
L0000058,C001731,Education,1117648.63,577901.2,8.58,60,Default,2023-05-09,2023-05-28,2028-05-28
L0000059,C005305,Auto,1712150.75,1147767.44,12.38,24,Current,2023-02-28,2023-03-11,2025-03-11
L0000060,C003969,Mortgage,11842210.33,9146625.98,11.69,60,Current,2023-01-05,2023-02-06,2028-02-06
L0000061,C003914,Personal,304326.81,163583.49,15.98,12,Delinquent,2023-05-19,2023-05-22,2024-05-22
L0000062,C003953,Mortgage,15000000.0,14316834.9,10.0,180,Current,2021-06-26,2021-07-21,2036-07-21
L0000063,C000356,Personal,587427.39,0.0,11.92,24,Paid Off,2021-07-09,2021-08-08,2023-08-08
L0000064,C008612,Education,1369713.56,1217590.21,7.45,60,Current,2024-05-23,2024-06-05,2029-06-05
L0000065,C007923,Mortgage,12324829.44,10847744.33,6.85,180,Current,2021-03-21,2021-03-26,2036-03-26
L0000066,C006870,Education,552078.01,0.0,9.78,60,Paid Off,2022-03-13,2022-04-07,2027-04-07
L0000067,C004301,Mortgage,15000000.0,13407283.88,9.52,240,Current,2024-08-11,2024-08-25,2044-08-25
L0000068,C006882,Personal,911300.87,0.0,15.54,24,Closed,2023-04-11,2023-04-13,2025-04-13
L0000069,C006375,Education,1264745.28,571949.8,7.83,60,Current,2021-03-01,2021-04-01,2026-04-01
L0000070,C005444,Mortgage,3873510.2,0.0,11.54,120,Paid Off,2022-01-12,2022-01-17,2032-01-17
L0000071,C003641,Auto,632506.43,0.0,13.72,36,Paid Off,2021-11-14,2021-12-07,2024-12-07
L0000072,C001363,Personal,1500000.0,0.0,14.28,12,Paid Off,2023-06-19,2023-07-11,2024-07-11
L0000073,C007099,Personal,322760.69,252255.27,14.14,48,Current,2023-03-20,2023-04-11,2027-04-11
L0000074,C006474,Business,7779097.39,0.0,13.44,24,Paid Off,2021-12-11,2021-12-13,2023-12-13
L0000075,C009946,Personal,1270385.94,760735.56,12.19,36,Current,2023-03-07,2023-04-04,2026-04-04
L0000076,C007458,Mortgage,6436826.4,5478608.44,10.08,240,Current,2021-08-31,2021-09-28,2041-09-28
L0000077,C008141,Education,114141.8,0.0,6.95,36,Paid Off,2021-03-09,2021-03-12,2024-03-12
L0000078,C007614,Business,6693457.81,4396578.74,13.75,24,Current,2024-03-26,2024-04-18,2026-04-18
L0000079,C003489,Auto,1356700.2,1218800.16,12.35,36,Current,2022-05-17,2022-06-06,2025-06-06
L0000080,C008852,Personal,656794.68,592382.35,14.83,60,Delinquent,2023-12-19,2024-01-19,2029-01-19
L0000081,C000273,Personal,692695.35,0.0,12.98,12,Closed,2022-12-15,2022-12-21,2023-12-21
L0000082,C000575,Personal,852469.89,640776.66,14.36,60,Current,2022-06-28,2022-07-27,2027-07-27
L0000083,C006591,Personal,1328671.32,1140324.1,16.12,36,Current,2024-10-23,2024-10-28,2027-10-28
L0000084,C005989,Personal,1157847.36,881866.94,11.32,24,Current,2024-03-13,2024-03-31,2026-03-31
L0000085,C009807,Personal,681501.65,633701.57,16.19,48,Current,2023-01-10,2023-02-11,2027-02-11
L0000086,C000152,Education,2000000.0,871413.15,11.2,60,Current,2021-01-19,2021-01-21,2026-01-21
L0000087,C000683,Education,1665719.22,1311662.33,11.45,36,Current,2023-08-28,2023-09-09,2026-09-09
L0000088,C007919,Personal,333807.56,219029.42,15.02,60,Current,2022-05-22,2022-06-01,2027-06-01
L0000089,C009700,Personal,258166.82,140562.26,14.11,48,Current,2021-08-24,2021-09-16,2025-09-16
L0000090,C007042,Business,5417342.37,4081785.89,11.69,48,Current,2023-08-05,2023-08-15,2027-08-15
L0000091,C002826,Personal,138662.69,88195.75,13.81,60,Current,2022-10-25,2022-11-05,2027-11-05
L0000092,C004460,Mortgage,9426962.73,8607355.58,10.77,60,Current,2021-04-03,2021-05-03,2026-05-03
L0000093,C007504,Mortgage,8075616.1,6100243.55,10.09,60,Current,2021-10-14,2021-10-18,2026-10-18
L0000094,C000401,Personal,1149103.51,771139.1,15.7,60,Current,2023-02-10,2023-02-12,2028-02-12
L0000095,C008071,Auto,3084747.16,2495984.99,11.51,48,Current,2023-12-04,2024-01-01,2028-01-01
L0000096,C001747,Personal,128918.19,0.0,15.39,60,Closed,2024-03-27,2024-04-06,2029-04-06
L0000097,C007059,Education,438998.05,244773.24,7.97,24,Delinquent,2022-03-20,2022-03-29,2024-03-29
L0000098,C009827,Mortgage,15000000.0,13040033.91,12.71,180,Current,2024-05-02,2024-05-23,2039-05-23
L0000099,C002691,Personal,683023.04,443214.55,11.71,24,Current,2023-08-22,2023-09-24,2025-09-24
L0000100,C001183,Business,2384591.76,1286025.81,12.75,24,Current,2023-07-27,2023-08-08,2025-08-08
L0000101,C001410,Business,589139.38,455084.79,14.0,36,Current,2023-10-29,2023-11-02,2026-11-02
L0000102,C001853,Business,567540.83,515963.36,10.47,60,Current,2024-08-11,2024-09-08,2029-09-08
L0000103,C001459,Business,4667597.42,0.0,13.13,24,Paid Off,2022-08-10,2022-09-08,2024-09-08
L0000104,C008079,Auto,1218634.7,0.0,11.35,24,Paid Off,2023-05-27,2023-06-29,2025-06-29
L0000105,C003900,Business,5597744.22,4099877.01,12.59,48,Current,2023-07-08,2023-08-05,2027-08-05
L0000106,C001873,Personal,1068472.59,930560.8,15.35,12,Current,2024-04-29,2024-05-14,2025-05-14
L0000107,C002334,Personal,1039527.92,0.0,16.73,12,Paid Off,2023-11-27,2023-12-17,2024-12-17
L0000108,C007436,Auto,1200439.68,0.0,12.82,24,Paid Off,2022-07-01,2022-07-06,2024-07-06
L0000109,C001414,Personal,878293.74,615556.56,15.05,60,Current,2023-05-11,2023-05-27,2028-05-27
L0000110,C002754,Education,509012.48,417108.46,9.81,36,Current,2022-10-28,2022-10-31,2025-10-31
L0000111,C007326,Education,1691897.85,0.0,6.5,24,Paid Off,2022-05-05,2022-05-09,2024-05-09
L0000112,C004962,Personal,1119701.91,675629.24,15.0,60,Current,2021-05-23,2021-06-24,2026-06-24
L0000113,C009087,Personal,1317263.04,0.0,14.37,24,Closed,2022-09-03,2022-09-06,2024-09-06
L0000114,C004819,Mortgage,10236679.05,9000213.57,9.34,240,Current,2022-09-13,2022-10-08,2042-10-08
L0000115,C005117,Business,1791067.86,0.0,11.84,36,Closed,2021-03-10,2021-04-04,2024-04-04
L0000116,C001680,Auto,1322218.13,0.0,11.74,24,Paid Off,2021-12-08,2021-12-25,2023-12-25
L0000117,C009802,Personal,289707.19,229955.5,15.79,12,Current,2024-05-12,2024-05-18,2025-05-18
L0000118,C004960,Personal,768222.43,612669.87,14.75,60,Current,2021-06-05,2021-06-28,2026-06-28
L0000119,C001959,Business,5283452.54,3907078.53,13.38,60,Current,2022-03-23,2022-04-18,2027-04-18
L0000120,C006133,Mortgage,2465155.83,0.0,11.76,120,Paid Off,2022-10-13,2022-11-03,2032-11-03
L0000121,C006537,Auto,2212981.52,1836256.57,10.71,60,Current,2024-08-08,2024-09-07,2029-09-07
L0000122,C003355,Education,1577516.47,1131038.45,9.59,36,Delinquent,2021-05-20,2021-06-12,2024-06-12
L0000123,C001695,Mortgage,12270283.74,11446054.03,11.21,240,Current,2022-02-22,2022-02-25,2042-02-25
L0000124,C002222,Auto,1622773.89,1043209.49,11.62,36,Current,2023-10-05,2023-10-13,2026-10-13
L0000125,C001903,Business,5008413.84,4692798.73,11.88,84,Current,2024-10-29,2024-11-04,2031-11-04
L0000126,C000049,Education,1767135.34,1484273.81,6.5,60,Current,2023-03-05,2023-03-13,2028-03-13
L0000127,C007542,Auto,1688594.31,604387.9,12.53,48,Default,2021-09-02,2021-09-15,2025-09-15
L0000128,C000673,Education,896968.82,546413.91,9.35,48,Current,2022-01-13,2022-02-12,2026-02-12
L0000129,C006086,Personal,463803.02,444105.32,17.27,48,Current,2023-01-03,2023-01-10,2027-01-10
L0000130,C000726,Business,8000000.0,7226505.87,14.54,84,Current,2024-08-04,2024-08-28,2031-08-28
L0000131,C000967,Personal,790954.43,703618.14,14.0,60,Current,2021-05-11,2021-05-14,2026-05-14
L0000132,C000101,Personal,1500000.0,1191735.06,13.34,60,Current,2023-02-12,2023-03-02,2028-03-02
L0000133,C000182,Personal,484449.32,296259.82,13.59,36,Default,2021-05-10,2021-06-05,2024-06-05
L0000134,C008958,Mortgage,11363980.05,10587495.45,11.0,240,Current,2022-09-13,2022-10-05,2042-10-05
L0000135,C000968,Business,6958615.58,0.0,13.14,36,Closed,2021-11-30,2021-12-17,2024-12-17
L0000136,C006154,Personal,292488.04,189873.07,14.94,12,Current,2024-07-14,2024-07-18,2025-07-18
L0000137,C003455,Mortgage,1000000.0,520674.23,8.19,120,Delinquent,2021-08-01,2021-08-04,2031-08-04
L0000138,C007583,Education,1438078.55,1165230.46,11.76,48,Delinquent,2023-04-04,2023-04-27,2027-04-27
L0000139,C000972,Business,1110844.74,987090.52,11.9,36,Current,2023-09-18,2023-10-08,2026-10-08
L0000140,C000046,Auto,1493364.61,1079206.41,10.48,24,Default,2024-02-27,2024-03-31,2026-03-31
L0000141,C008436,Personal,733800.31,0.0,15.1,24,Paid Off,2022-02-03,2022-02-25,2024-02-25
L0000142,C006468,Auto,2576127.98,2304043.72,10.56,60,Current,2024-10-01,2024-10-12,2029-10-12
L0000143,C006646,Business,5872588.91,1907264.35,15.49,36,Default,2024-04-08,2024-04-12,2027-04-12
L0000144,C009893,Mortgage,6117997.27,4291863.51,10.42,120,Current,2021-12-22,2022-01-19,2032-01-19
L0000145,C008376,Mortgage,9471456.16,8242850.06,7.91,180,Current,2022-01-27,2022-01-29,2037-01-29
L0000146,C002657,Auto,3164371.55,2874821.6,10.03,48,Current,2024-09-14,2024-10-16,2028-10-16
L0000147,C008490,Business,5079464.47,2902151.58,13.65,36,Delinquent,2023-01-14,2023-02-01,2026-02-01
L0000148,C006618,Auto,2268570.55,2105383.39,13.29,60,Current,2022-11-11,2022-11-17,2027-11-17
L0000149,C009014,Business,1079580.55,814495.76,11.26,48,Current,2023-09-16,2023-09-28,2027-09-28
L0000150,C008597,Personal,1209892.64,753592.99,15.64,24,Delinquent,2021-07-02,2021-07-16,2023-07-16
L0000151,C002860,Education,909238.94,0.0,6.5,24,Closed,2021-06-14,2021-07-15,2023-07-15
L0000152,C008123,Mortgage,8407197.77,8048525.67,13.69,60,Current,2023-10-10,2023-10-21,2028-10-21
L0000153,C004872,Auto,2578745.22,2296748.93,11.5,60,Current,2022-11-26,2022-12-19,2027-12-19
L0000154,C001479,Business,2775113.16,1642518.53,15.52,36,Current,2023-07-13,2023-07-18,2026-07-18
L0000155,C007928,Mortgage,15000000.0,13470055.14,9.38,120,Current,2024-04-09,2024-04-15,2034-04-15
L0000156,C004706,Mortgage,5456532.91,0.0,12.35,120,Paid Off,2021-04-16,2021-05-18,2031-05-18
L0000157,C004900,Education,1270356.91,1084356.92,12.2,60,Current,2022-10-11,2022-11-05,2027-11-05
L0000158,C006763,Mortgage,9333536.67,7799829.67,10.37,240,Current,2021-03-12,2021-03-15,2041-03-15
L0000159,C000061,Personal,570584.86,408710.63,12.35,48,Current,2023-04-08,2023-05-03,2027-05-03
L0000160,C009494,Auto,2346353.66,1837879.16,10.87,60,Current,2023-01-22,2023-02-02,2028-02-02
L0000161,C002676,Auto,2372116.19,953625.0,15.79,60,Default,2021-08-28,2021-09-20,2026-09-20
L0000162,C006804,Auto,2941891.42,2812419.76,10.86,48,Current,2023-08-14,2023-09-06,2027-09-06
L0000163,C001208,Mortgage,6984716.68,5614353.05,10.6,120,Current,2022-10-18,2022-11-07,2032-11-07
L0000164,C008224,Personal,1319238.31,1228255.49,14.58,36,Current,2024-10-10,2024-11-04,2027-11-04
L0000165,C001234,Personal,1068696.37,0.0,14.74,36,Paid Off,2021-04-20,2021-04-30,2024-04-30
L0000166,C000836,Business,4785023.21,2671442.54,13.73,24,Current,2023-08-15,2023-09-10,2025-09-10
L0000167,C007556,Mortgage,8345782.73,7746413.78,9.27,120,Current,2021-07-20,2021-08-08,2031-08-08
L0000168,C001158,Mortgage,8375330.79,6326748.38,7.12,120,Current,2022-06-07,2022-07-07,2032-07-07
L0000169,C003463,Business,4092273.26,1280237.47,10.96,84,Default,2022-10-24,2022-11-21,2029-11-21
L0000170,C001144,Mortgage,5601337.93,4082735.81,7.74,60,Current,2022-08-30,2022-09-12,2027-09-12
L0000171,C001806,Personal,253181.01,210011.96,12.14,48,Current,2022-01-17,2022-02-07,2026-02-07
L0000172,C002859,Auto,2392027.15,1999348.11,12.54,48,Current,2023-12-25,2024-01-04,2028-01-04
L0000173,C002653,Education,1018161.06,628978.36,9.94,24,Current,2024-01-14,2024-02-02,2026-02-02
L0000174,C009630,Personal,1199244.29,775087.62,13.85,36,Current,2023-04-10,2023-04-28,2026-04-28
L0000175,C005276,Personal,178187.04,0.0,14.27,36,Closed,2023-07-06,2023-07-31,2026-07-31
L0000176,C003561,Personal,1035747.99,612562.76,14.87,24,Current,2023-04-11,2023-04-19,2025-04-19
L0000177,C008017,Personal,636370.1,476474.93,12.33,36,Current,2022-12-20,2023-01-10,2026-01-10
L0000178,C001822,Mortgage,1148888.1,1025133.42,12.41,120,Current,2023-03-11,2023-03-24,2033-03-24
L0000179,C006203,Auto,2879063.9,2732911.14,11.18,48,Current,2024-02-10,2024-02-17,2028-02-17
L0000180,C007821,Education,1029458.44,654273.17,6.86,36,Current,2023-08-26,2023-09-03,2026-09-03
L0000181,C006501,Education,1427420.85,724401.63,11.07,48,Delinquent,2024-10-03,2024-10-24,2028-10-24
L0000182,C007858,Mortgage,4366565.44,3887532.15,8.62,240,Current,2022-06-16,2022-07-03,2042-07-03
L0000183,C008261,Business,4419587.45,2008574.54,9.62,60,Current,2021-01-15,2021-01-17,2026-01-17
L0000184,C006397,Personal,534122.34,0.0,13.51,60,Closed,2023-01-05,2023-01-25,2028-01-25
L0000185,C001523,Mortgage,14260955.35,11799058.51,12.24,180,Current,2022-03-06,2022-03-27,2037-03-27
L0000186,C007579,Mortgage,9676477.34,7594899.95,11.39,180,Current,2023-02-21,2023-02-25,2038-02-25
L0000187,C009480,Mortgage,1454383.26,1200672.52,11.23,120,Current,2024-01-06,2024-02-08,2034-02-08
L0000188,C008051,Auto,1766215.04,0.0,11.38,24,Closed,2022-08-30,2022-09-20,2024-09-20
L0000189,C005483,Mortgage,7537269.37,6357549.98,10.36,60,Current,2023-06-05,2023-07-02,2028-07-02
L0000190,C002993,Mortgage,11699134.23,10586033.1,10.94,240,Current,2023-11-15,2023-12-08,2043-12-08
L0000191,C000175,Mortgage,7383409.84,6362988.11,10.24,180,Current,2023-03-01,2023-03-04,2038-03-04
L0000192,C004426,Business,2332702.15,2189833.28,11.86,60,Current,2023-03-28,2023-03-30,2028-03-30
L0000193,C007771,Personal,1500000.0,1287708.64,14.91,36,Current,2024-08-29,2024-09-29,2027-09-29
L0000194,C004693,Mortgage,11361771.09,0.0,9.41,120,Paid Off,2021-08-25,2021-09-23,2031-09-23
L0000195,C002694,Business,6012905.45,5263007.68,10.93,60,Current,2022-12-21,2022-12-24,2027-12-24
L0000196,C008230,Personal,618652.77,314327.88,15.02,60,Current,2021-09-24,2021-10-01,2026-10-01
L0000197,C007509,Personal,1185494.06,963406.66,15.65,60,Current,2024-03-11,2024-03-29,2029-03-29
L0000198,C007647,Personal,53666.88,18151.87,12.01,12,Default,2022-02-21,2022-03-22,2023-03-22
L0000199,C009941,Mortgage,15000000.0,12553435.14,10.29,240,Current,2023-02-22,2023-02-26,2043-02-26
L0000200,C008214,Auto,2872063.63,2363899.83,13.58,24,Current,2024-08-22,2024-09-07,2026-09-07
L0000201,C007485,Auto,3252106.8,1662402.91,10.55,24,Current,2023-04-07,2023-04-12,2025-04-12
L0000202,C000673,Education,1554085.05,1244036.24,8.21,36,Current,2023-12-11,2024-01-14,2027-01-14
L0000203,C009400,Auto,1658385.1,1130542.59,13.19,48,Current,2022-03-23,2022-04-11,2026-04-11
L0000204,C005144,Personal,800268.04,0.0,15.24,12,Closed,2023-02-27,2023-03-09,2024-03-09
L0000205,C008626,Personal,762482.69,601326.72,13.43,60,Current,2022-11-29,2022-12-08,2027-12-08
L0000206,C008650,Mortgage,9289989.82,0.0,11.05,180,Paid Off,2023-01-12,2023-01-25,2038-01-25
L0000207,C001932,Auto,549810.52,0.0,13.08,60,Closed,2022-05-18,2022-05-23,2027-05-23
L0000208,C001291,Business,4957841.54,4413603.62,11.98,48,Current,2022-08-19,2022-09-19,2026-09-19
L0000209,C006858,Personal,126920.87,98426.02,13.79,48,Current,2024-03-11,2024-03-30,2028-03-30
L0000210,C003785,Education,1179266.03,0.0,8.79,24,Paid Off,2022-11-22,2022-12-09,2024-12-09
L0000211,C008373,Business,4928376.11,0.0,13.8,36,Paid Off,2021-04-04,2021-05-07,2024-05-07
L0000212,C003590,Business,2570594.43,1835486.2,14.31,24,Delinquent,2024-02-09,2024-02-26,2026-02-26
L0000213,C004292,Mortgage,6052717.87,4808331.56,7.86,240,Current,2021-04-06,2021-05-06,2041-05-06
L0000214,C007176,Personal,1022295.08,419301.31,13.72,12,Delinquent,2024-10-08,2024-10-20,2025-10-20
L0000215,C007483,Education,494169.14,382077.56,9.76,48,Current,2022-03-03,2022-03-16,2026-03-16
L0000216,C003414,Mortgage,10991329.11,9879769.26,8.83,180,Current,2024-08-27,2024-09-25,2039-09-25
L0000217,C006073,Auto,2932114.66,1474939.36,11.76,36,Delinquent,2022-03-13,2022-03-24,2025-03-24
L0000218,C006140,Personal,287323.29,235904.3,11.98,36,Current,2022-11-23,2022-12-22,2025-12-22
L0000219,C003078,Personal,86297.29,62076.7,14.61,60,Current,2021-11-07,2021-11-19,2026-11-19
L0000220,C000582,Personal,726313.6,599793.71,15.01,60,Current,2023-12-09,2023-12-29,2028-12-29
L0000221,C004541,Personal,179331.8,0.0,13.68,24,Closed,2021-06-20,2021-06-23,2023-06-23
L0000222,C002959,Personal,1500000.0,1229027.43,12.17,60,Current,2023-09-13,2023-10-03,2028-10-03
L0000223,C002000,Personal,178031.07,150123.99,12.77,60,Current,2024-09-19,2024-10-22,2029-10-22
L0000224,C001843,Business,3910662.81,3515655.3,13.5,60,Current,2022-02-15,2022-03-20,2027-03-20
L0000225,C003294,Business,4587266.76,4390830.19,9.76,36,Current,2024-10-25,2024-10-30,2027-10-30
L0000226,C003126,Education,590064.99,521203.56,7.66,48,Current,2024-03-17,2024-04-18,2028-04-18
L0000227,C003870,Personal,1357379.68,1246954.37,14.46,24,Current,2023-11-13,2023-12-16,2025-12-16
L0000228,C008545,Education,1292745.38,943318.76,11.25,60,Current,2021-11-08,2021-12-07,2026-12-07
L0000229,C006595,Personal,1189255.76,962579.26,12.17,60,Current,2023-02-09,2023-03-08,2028-03-08
L0000230,C006683,Auto,1158022.83,593521.75,12.65,48,Current,2021-08-23,2021-09-24,2025-09-24
L0000231,C007454,Personal,50000.0,0.0,12.98,12,Paid Off,2022-08-24,2022-09-06,2023-09-06
L0000232,C006182,Education,965259.07,0.0,9.97,24,Closed,2021-05-16,2021-06-02,2023-06-02
L0000233,C002387,Personal,918832.96,878513.3,13.36,48,Current,2024-01-17,2024-01-22,2028-01-22
L0000234,C005568,Business,4314004.77,3435226.25,12.28,36,Delinquent,2024-10-22,2024-11-10,2027-11-10
L0000235,C008058,Education,1650729.26,1136376.05,8.09,36,Current,2022-04-09,2022-05-07,2025-05-07
L0000236,C007994,Business,5125666.17,4220788.86,14.21,84,Current,2024-01-04,2024-01-31,2031-01-31
L0000237,C007574,Mortgage,2598338.5,1366642.86,8.75,180,Default,2021-12-03,2022-01-01,2037-01-01
L0000238,C005830,Personal,110816.83,100392.83,15.72,24,Delinquent,2023-12-17,2024-01-11,2026-01-11
L0000239,C003321,Personal,738240.7,598053.69,15.23,48,Current,2023-01-28,2023-02-25,2027-02-25
L0000240,C008986,Mortgage,4874157.98,2507706.63,11.43,60,Default,2023-05-02,2023-05-31,2028-05-31
L0000241,C009577,Business,3244532.23,0.0,13.05,24,Paid Off,2022-09-23,2022-10-18,2024-10-18
L0000242,C009806,Education,1671622.23,0.0,10.01,36,Paid Off,2021-12-26,2022-01-01,2025-01-01
L0000243,C000229,Personal,58043.95,25678.76,14.05,24,Current,2023-04-23,2023-05-22,2025-05-22
L0000244,C006950,Education,352978.52,320358.81,9.4,36,Current,2023-02-05,2023-02-11,2026-02-11
L0000245,C003733,Mortgage,9815147.87,7811712.69,9.76,120,Current,2022-04-26,2022-05-27,2032-05-27
L0000246,C004794,Mortgage,8533779.7,5699951.8,8.49,60,Current,2022-03-20,2022-04-14,2027-04-14
L0000247,C000449,Mortgage,9631108.16,7983640.06,12.6,240,Current,2022-03-28,2022-03-31,2042-03-31
L0000248,C006565,Personal,1500000.0,0.0,14.86,12,Paid Off,2022-05-17,2022-06-05,2023-06-05
L0000249,C009372,Education,2000000.0,1421668.85,9.45,36,Current,2024-01-03,2024-02-01,2027-02-01
L0000250,C000399,Mortgage,2034735.17,1673851.91,8.74,240,Current,2023-08-16,2023-09-18,2043-09-18
L0000251,C004136,Personal,1038305.15,0.0,17.5,36,Paid Off,2021-10-04,2021-11-04,2024-11-04
L0000252,C000540,Auto,3664515.14,2435189.85,13.05,36,Current,2023-04-21,2023-05-11,2026-05-11
