customer_id,age,gender,employment_status,annual_income,customer_segment,city,region,customer_since
C000037,34,Male,Salaried,342854.38,Affluent,Sialkot,Punjab,2017-06-22
C000038,54,Male,Salaried,235865.54,Mass Affluent,Karachi,Sindh,2017-03-20
C000039,47,Male,Salaried,127581.3,Mass Affluent,Lahore,Punjab,2019-06-11
C000040,49,Male,Salaried,270473.62,Mass Affluent,Hyderabad,Sindh,2016-07-26
C000041,30,Female,Student,13451.84,Mass Market,Sukkur,Sindh,2016-01-05
C000042,44,Male,Salaried,103938.75,Mass Market,Peshawar,Khyber Pakhtunkhwa,2016-05-16
C000043,61,Male,Retired,146002.18,Mass Affluent,Sukkur,Sindh,2015-04-07
C000044,41,Male,Salaried,128402.78,Mass Affluent,Lahore,Punjab,2018-03-17
C000045,39,Male,Salaried,34096.92,Mass Market,Swat,Khyber Pakhtunkhwa,2017-08-19
C000046,34,Male,Self-Employed,41004.72,Mass Market,Mardan,Khyber Pakhtunkhwa,2015-04-03
C000047,21,Male,Student,37208.61,Mass Affluent,Sialkot,Punjab,2021-01-19
C000048,27,Male,Salaried,75197.77,Mass Market,Multan,Punjab,2018-12-20
C000049,29,Female,Salaried,748436.11,Premium,Karachi,Sindh,2017-09-16
C000050,21,Male,Self-Employed,133972.84,Mass Affluent,Gujranwala,Punjab,2016-10-22
C000051,22,Male,Salaried,57266.36,Mass Market,Sialkot,Punjab,2019-04-26
C000052,21,Male,Self-Employed,100507.21,Mass Market,Faisalabad,Punjab,2021-11-26
C000053,30,Male,Student,49475.84,Mass Affluent,Peshawar,Khyber Pakhtunkhwa,2015-04-10
C000054,46,Male,Salaried,48597.86,Mass Market,Sukkur,Sindh,2017-12-19
C000055,36,Male,Student,34706.15,Affluent,Sukkur,Sindh,2018-09-22
C000056,36,Male,Salaried,130633.61,Mass Market,Swat,Khyber Pakhtunkhwa,2022-06-18
C000057,47,Male,Student,51163.57,Mass Market,Karachi,Sindh,2021-02-20
C000058,58,Male,Unemployed,40580.68,Mass Market,Sukkur,Sindh,2020-07-26
C000059,64,Male,Self-Employed,127821.52,Mass Affluent,Faisalabad,Punjab,2022-02-26
C000060,41,Male,Unemployed,22121.94,Premium,Rawalpindi,Punjab,2020-09-13
C000061,36,Male,Student,46686.35,Affluent,Larkana,Sindh,2019-04-11
C000062,34,Female,Salaried,49437.91,Mass Market,Sukkur,Sindh,2021-01-04
C000063,46,Female,Salaried,129441.9,Mass Affluent,Larkana,Sindh,2018-08-06
C000064,37,Female,Salaried,106868.47,Mass Market,Peshawar,Khyber Pakhtunkhwa,2023-01-15
C000065,37,Male,Salaried,175581.89,Mass Affluent,Hyderabad,Sindh,2017-04-25
C000066,38,Female,Self-Employed,239647.39,Affluent,Larkana,Sindh,2020-10-04
C000067,29,Female,Salaried,83476.86,Mass Market,Hyderabad,Sindh,2015-02-01
C000068,21,Male,Business Owner,627039.51,Premium,Faisalabad,Punjab,2021-07-17
C000069,32,Female,Salaried,68394.21,Mass Market,Multan,Punjab,2016-06-01
C000070,55,Female,Salaried,66070.45,Mass Market,Karachi,Sindh,2020-03-25
C000071,55,Male,Salaried,58302.02,Mass Affluent,Gujranwala,Punjab,2016-12-30
C000072,49,Male,Unemployed,44948.87,Affluent,Faisalabad,Punjab,2015-04-24
C000073,34,Male,Salaried,65395.97,Mass Market,Swat,Khyber Pakhtunkhwa,2020-12-03
C000074,30,Male,Salaried,94014.33,Mass Affluent,Lahore,Punjab,2021-03-05
C000075,57,Female,Salaried,32182.56,Mass Market,Rawalpindi,Punjab,2022-02-12
C000076,27,Male,Unemployed,36013.87,Mass Affluent,Rawalpindi,Punjab,2021-11-04
C000077,39,Male,Salaried,184730.61,Mass Affluent,Rawalpindi,Punjab,2019-02-16
C000078,58,Male,Self-Employed,68739.11,Mass Market,Hyderabad,Sindh,2023-05-15
C000079,40,Female,Salaried,174304.49,Mass Affluent,Sukkur,Sindh,2022-05-24
C000080,36,Male,Salaried,154425.34,Mass Affluent,Abbottabad,Khyber Pakhtunkhwa,2015-06-30
C000081,52,Male,Business Owner,42316.98,Mass Market,Hyderabad,Sindh,2018-05-13
C000082,40,Female,Self-Employed,80594.6,Mass Market,Sialkot,Punjab,2021-01-31
C000083,41,Female,Business Owner,74957.83,Mass Market,Swat,Khyber Pakhtunkhwa,2020-11-20
C000084,56,Female,Salaried,267774.7,Affluent,Rawalpindi,Punjab,2022-10-09
C000085,21,Female,Unemployed,43404.55,Mass Affluent,Lahore,Punjab,2020-01-05
C000086,43,Female,Self-Employed,175681.29,Mass Affluent,Multan,Punjab,2018-09-10
C000087,31,Female,Unemployed,35254.84,Mass Affluent,Peshawar,Khyber Pakhtunkhwa,2016-05-08
C000088,37,Female,Salaried,423344.02,Affluent,Sukkur,Sindh,2023-09-30
C000089,40,Male,Salaried,74372.06,Mass Market,Rawalpindi,Punjab,2019-02-27
C000090,32,Female,Salaried,60051.5,Mass Market,Karachi,Sindh,2022-05-27
C000091,42,Female,Business Owner,232619.55,Mass Affluent,Multan,Punjab,2023-09-15
C000092,43,Male,Business Owner,36689.79,Mass Market,Larkana,Sindh,2021-01-12
C000093,41,Female,Salaried,50373.96,Mass Market,Hyderabad,Sindh,2016-05-07
C000094,40,Female,Salaried,100311.38,Mass Affluent,Faisalabad,Punjab,2019-09-26
C000095,38,Male,Salaried,320814.86,Affluent,Lahore,Punjab,2018-08-26
C000096,38,Male,Salaried,203741.37,Mass Affluent,Larkana,Sindh,2020-07-04
C000097,40,Male,Student,27834.57,Mass Market,Sialkot,Punjab,2017-12-28
C000098,29,Female,Salaried,1500000.0,Premium,Lahore,Punjab,2016-04-23
C000099,53,Female,Salaried,46641.8,Mass Market,Multan,Punjab,2021-09-18
C000100,38,Male,Salaried,68813.8,Mass Market,Islamabad,Islamabad Capital,2023-02-05
C000101,35,Female,Salaried,625638.32,Premium,Turbat,Balochistan,2015-05-07
C000102,43,Female,Unemployed,38604.61,Mass Affluent,Larkana,Sindh,2016-12-13
C000103,38,Female,Salaried,207197.66,Affluent,Faisalabad,Punjab,2019-01-28
C000104,53,Female,Retired,108292.6,Mass Affluent,Islamabad,Islamabad Capital,2021-06-06
C000105,49,Female,Business Owner,93976.46,Mass Affluent,Peshawar,Khyber Pakhtunkhwa,2017-05-19
C000106,40,Male,Self-Employed,30635.26,Mass Market,Mardan,Khyber Pakhtunkhwa,2020-02-26
C000107,49,Male,Salaried,39172.91,Mass Market,Hyderabad,Sindh,2017-09-05
C000108,42,Male,Business Owner,484932.42,Affluent,Faisalabad,Punjab,2018-03-14
C000109,26,Male,Business Owner,450324.43,Affluent,Gujranwala,Punjab,2018-08-31
C000110,49,Female,Salaried,27982.94,Mass Market,Gwadar,Balochistan,2018-05-22
C000111,21,Female,Retired,29133.5,Mass Market,Karachi,Sindh,2017-08-16
C000112,21,Male,Salaried,28253.29,Mass Market,Gujranwala,Punjab,2016-06-27
C000113,47,Female,Salaried,59382.41,Mass Market,Sialkot,Punjab,2020-02-09
C000114,44,Male,Salaried,176945.9,Affluent,Karachi,Sindh,2021-12-12
C000115,43,Male,Business Owner,84170.25,Mass Market,Sialkot,Punjab,2017-08-01
C000116,54,Male,Salaried,74077.79,Mass Market,Peshawar,Khyber Pakhtunkhwa,2017-09-18
C000117,39,Male,Salaried,406274.78,Affluent,Mardan,Khyber Pakhtunkhwa,2023-04-03
C000118,35,Female,Salaried,116203.54,Mass Affluent,Peshawar,Khyber Pakhtunkhwa,2017-09-24
C000119,48,Male,Salaried,55792.51,Mass Market,Larkana,Sindh,2019-01-10
C000120,31,Male,Salaried,33941.25,Mass Market,Larkana,Sindh,2018-01-28
C000121,36,Male,Student,20276.83,Mass Market,Larkana,Sindh,2016-05-24
C000122,42,Female,Salaried,86037.85,Mass Market,Karachi,Sindh,2018-05-29
C000123,43,Male,Unemployed,17667.1,Mass Market,Gujranwala,Punjab,2017-08-08
C000124,35,Female,Business Owner,62426.62,Mass Market,Multan,Punjab,2017-12-15
C000125,34,Male,Business Owner,96926.0,Mass Market,Lahore,Punjab,2022-03-04
C000126,27,Male,Retired,117945.48,Mass Market,Larkana,Sindh,2023-02-03
C000127,30,Male,Salaried,78885.76,Mass Market,Lahore,Punjab,2015-12-24
C000128,59,Female,Self-Employed,178879.09,Affluent,Lahore,Punjab,2016-07-25
C000129,36,Female,Salaried,105207.71,Mass Market,Rawalpindi,Punjab,2018-06-01
C000130,41,Male,Salaried,73791.59,Mass Market,Larkana,Sindh,2019-11-07
C000131,23,Male,Salaried,403953.64,Affluent,Multan,Punjab,2023-07-15
C000132,67,Male,Business Owner,45957.58,Mass Market,Gwadar,Balochistan,2022-06-14
C000133,30,Female,Student,50262.37,Mass Market,Sukkur,Sindh,2015-01-04
C000134,26,Female,Salaried,598389.33,Affluent,Lahore,Punjab,2021-05-09
C000135,38,Male,Business Owner,153098.04,Mass Affluent,Larkana,Sindh,2023-09-27
C000136,29,Male,Salaried,93779.29,Mass Market,Lahore,Punjab,2016-08-17
C000137,43,Male,Salaried,115910.4,Mass Affluent,Islamabad,Islamabad Capital,2018-03-25
C000138,22,Female,Salaried,80279.28,Mass Affluent,Sukkur,Sindh,2017-04-29
C000139,52,Male,Self-Employed,81186.17,Mass Market,Abbottabad,Khyber Pakhtunkhwa,2016-11-24
C000140,49,Male,Salaried,42309.29,Mass Market,Multan,Punjab,2018-08-02
C000141,38,Female,Salaried,98714.14,Mass Market,Karachi,Sindh,2022-06-05
C000142,21,Male,Salaried,416953.91,Affluent,Hyderabad,Sindh,2015-09-06
C000143,30,Female,Self-Employed,65610.07,Mass Market,Gwadar,Balochistan,2019-03-23
C000144,40,Male,Business Owner,64230.42,Mass Market,Sukkur,Sindh,2023-03-21
C000145,26,Female,Salaried,87380.68,Mass Market,Karachi,Sindh,2015-12-14
C000146,27,Male,Business Owner,310792.02,Affluent,Lahore,Punjab,2021-12-17
C000147,51,Male,Self-Employed,51451.99,Mass Market,Faisalabad,Punjab,2020-12-31
C000148,41,Female,Salaried,33744.99,Mass Market,Sukkur,Sindh,2016-11-03
C000149,40,Female,Salaried,86377.43,Mass Market,Sukkur,Sindh,2021-12-31
C000150,45,Male,Retired,128360.68,Mass Affluent,Faisalabad,Punjab,2016-12-31
C000151,37,Female,Salaried,170971.25,Mass Market,Mardan,Khyber Pakhtunkhwa,2019-01-21
C000152,38,Male,Salaried,269978.78,Affluent,Gwadar,Balochistan,2023-01-30
C000153,44,Male,Student,15226.31,Mass Market,Gujranwala,Punjab,2021-06-05
C000154,48,Male,Student,15463.52,Mass Market,Sukkur,Sindh,2019-05-22
C000155,44,Male,Business Owner,76832.83,Mass Market,Rawalpindi,Punjab,2015-12-19
C000156,55,Male,Student,26373.27,Mass Market,Karachi,Sindh,2015-11-23
C000157,39,Female,Salaried,58265.07,Mass Market,Rawalpindi,Punjab,2015-04-15
C000158,24,Female,Business Owner,178046.55,Mass Affluent,Larkana,Sindh,2015-07-19
C000159,51,Male,Salaried,52873.09,Mass Market,Swat,Khyber Pakhtunkhwa,2016-12-20
C000160,36,Female,Student,44699.68,Mass Affluent,Mardan,Khyber Pakhtunkhwa,2019-08-08
C000161,31,Male,Salaried,62246.15,Mass Market,Sialkot,Punjab,2023-10-29
C000162,47,Male,Salaried,151448.47,Mass Affluent,Gwadar,Balochistan,2022-08-10
C000163,43,Male,Salaried,92923.48,Mass Market,Multan,Punjab,2016-07-30
C000164,25,Male,Business Owner,119240.13,Mass Affluent,Gujranwala,Punjab,2022-10-16
C000165,46,Female,Self-Employed,34558.07,Mass Market,Karachi,Sindh,2023-04-11
C000166,60,Male,Business Owner,253048.31,Affluent,Rawalpindi,Punjab,2020-04-05
C000167,43,Female,Salaried,204604.46,Affluent,Mardan,Khyber Pakhtunkhwa,2017-09-03
C000168,36,Male,Salaried,124837.13,Affluent,Mardan,Khyber Pakhtunkhwa,2018-02-26
C000169,21,Male,Self-Employed,268876.07,Affluent,Multan,Punjab,2019-06-04
C000170,62,Male,Salaried,64713.91,Mass Market,Islamabad,Islamabad Capital,2017-02-21
C000171,33,Female,Business Owner,88432.0,Mass Market,Rawalpindi,Punjab,2021-05-03
C000172,24,Male,Unemployed,39160.84,Mass Market,Karachi,Sindh,2020-12-27
C000173,40,Male,Self-Employed,289579.39,Affluent,Sialkot,Punjab,2016-07-12
C000174,50,Male,Salaried,92113.29,Mass Market,Gwadar,Balochistan,2015-04-25
C000175,53,Female,Self-Employed,48229.87,Mass Market,Multan,Punjab,2016-10-18
C000176,32,Male,Retired,133671.96,Mass Affluent,Lahore,Punjab,2018-06-07
C000177,38,Female,Business Owner,110109.73,Mass Market,Larkana,Sindh,2017-04-11
C000178,39,Male,Business Owner,64059.8,Mass Affluent,Islamabad,Islamabad Capital,2020-01-22
C000179,50,Male,Salaried,66549.98,Mass Market,Turbat,Balochistan,2019-04-17
C000180,46,Female,Business Owner,202235.45,Mass Affluent,Mardan,Khyber Pakhtunkhwa,2018-07-08
C000181,42,Male,Salaried,245063.83,Affluent,Quetta,Balochistan,2018-02-11
C000182,49,Male,Business Owner,220192.74,Mass Affluent,Quetta,Balochistan,2021-07-10
C000183,24,Female,Student,21960.74,Mass Market,Karachi,Sindh,2015-10-10
C000184,44,Male,Retired,120926.91,Mass Market,Gujranwala,Punjab,2018-03-01
C000185,41,Male,Salaried,74864.6,Mass Market,Swat,Khyber Pakhtunkhwa,2017-05-28
C000186,38,Male,Student,42757.2,Mass Market,Sukkur,Sindh,2021-12-15
C000187,36,Female,Salaried,145697.78,Mass Affluent,Faisalabad,Punjab,2022-06-11
C000188,40,Female,Salaried,35679.71,Mass Market,Gujranwala,Punjab,2022-08-06
C000189,33,Female,Business Owner,47208.05,Mass Market,Mardan,Khyber Pakhtunkhwa,2019-08-25
C000190,69,Female,Salaried,88351.46,Mass Market,Multan,Punjab,2023-04-09
C000191,54,Female,Salaried,409235.86,Affluent,Quetta,Balochistan,2023-07-11
C000192,51,Male,Business Owner,53320.24,Mass Market,Gujranwala,Punjab,2023-03-09
C000193,33,Female,Self-Employed,119101.83,Mass Market,Sialkot,Punjab,2017-06-30
C000194,28,Female,Self-Employed,52448.77,Mass Market,Mardan,Khyber Pakhtunkhwa,2018-04-11
C000195,37,Male,Self-Employed,71514.18,Mass Market,Faisalabad,Punjab,2017-05-11
C000196,40,Female,Business Owner,330239.2,Affluent,Gujranwala,Punjab,2020-12-02
C000197,23,Male,Salaried,36189.39,Mass Market,Sukkur,Sindh,2018-10-30
C000198,44,Male,Salaried,124654.7,Mass Affluent,Quetta,Balochistan,2020-09-30
C000199,51,Female,Self-Employed,321198.62,Mass Affluent,Rawalpindi,Punjab,2015-09-18
C000200,21,Male,Business Owner,91567.19,Mass Affluent,Gujranwala,Punjab,2016-03-20
C000201,29,Male,Salaried,164859.62,Mass Affluent,Peshawar,Khyber Pakhtunkhwa,2017-11-05
C000202,53,Male,Salaried,83836.55,Mass Affluent,Islamabad,Islamabad Capital,2023-10-12
C000203,43,Female,Retired,140841.25,Mass Market,Hyderabad,Sindh,2018-03-30
C000204,29,Female,Student,49097.33,Mass Market,Multan,Punjab,2017-06-14
C000205,47,Female,Self-Employed,185887.46,Mass Affluent,Gujranwala,Punjab,2020-08-04
C000206,32,Female,Business Owner,93354.79,Mass Affluent,Multan,Punjab,2016-04-11
C000207,36,Female,Unemployed,27558.99,Mass Market,Lahore,Punjab,2018-05-07
C000208,26,Male,Self-Employed,49030.52,Mass Market,Hyderabad,Sindh,2022-12-30
C000209,39,Male,Salaried,62990.52,Mass Market,Sialkot,Punjab,2023-08-01
C000210,50,Female,Self-Employed,70152.35,Mass Market,Sukkur,Sindh,2022-11-19
C000211,34,Female,Retired,122899.29,Mass Market,Larkana,Sindh,2018-03-17
C000212,46,Female,Business Owner,64827.59,Mass Market,Hyderabad,Sindh,2019-10-07
C000213,38,Female,Salaried,68532.34,Mass Market,Lahore,Punjab,2022-11-11
C000214,51,Male,Retired,63534.71,Mass Affluent,Abbottabad,Khyber Pakhtunkhwa,2018-10-14
C000215,34,Female,Business Owner,90280.65,Mass Affluent,Swat,Khyber Pakhtunkhwa,2022-12-26
C000216,56,Male,Salaried,95303.46,Mass Affluent,Peshawar,Khyber Pakhtunkhwa,2021-04-14
C000217,46,Male,Unemployed,37087.37,Mass Affluent,Sialkot,Punjab,2016-09-12
C000218,42,Female,Business Owner,102622.12,Mass Market,Gujranwala,Punjab,2016-11-01
C000219,42,Female,Student,49496.09,Mass Market,Turbat,Balochistan,2020-03-31
C000220,34,Male,Retired,131901.07,Mass Affluent,Sialkot,Punjab,2020-01-28
C000221,33,Female,Salaried,115258.54,Mass Affluent,Sialkot,Punjab,2022-11-27
C000222,42,Female,Business Owner,88453.03,Mass Affluent,Sukkur,Sindh,2017-08-01
C000223,26,Male,Salaried,151213.28,Mass Affluent,Sukkur,Sindh,2021-06-25
C000224,32,Male,Student,23635.01,Mass Affluent,Islamabad,Islamabad Capital,2023-04-21
C000225,29,Male,Student,52752.04,Mass Affluent,Lahore,Punjab,2021-05-15
C000226,45,Male,Student,20114.41,Mass Affluent,Quetta,Balochistan,2019-04-28
C000227,45,Male,Business Owner,190393.39,Mass Affluent,Sialkot,Punjab,2023-07-08
C000228,53,Male,Business Owner,23890.65,Mass Market,Karachi,Sindh,2019-07-21
C000229,35,Male,Salaried,30760.99,Mass Market,Karachi,Sindh,2018-11-13
C000230,30,Male,Salaried,98058.1,Mass Market,Lahore,Punjab,2021-11-10
C000231,23,Male,Salaried,98900.72,Mass Affluent,Lahore,Punjab,2016-04-28
C000232,42,Female,Student,49051.18,Mass Affluent,Faisalabad,Punjab,2022-01-21
C000233,54,Male,Self-Employed,55551.98,Mass Market,Islamabad,Islamabad Capital,2017-02-19
C000234,38,Male,Self-Employed,65787.9,Mass Market,Karachi,Sindh,2017-02-12
C000235,39,Male,Salaried,122423.82,Mass Affluent,Quetta,Balochistan,2015-12-28
C000236,39,Female,Self-Employed,71678.44,Mass Market,Swat,Khyber Pakhtunkhwa,2020-06-26
C000237,42,Male,Salaried,317710.21,Affluent,Karachi,Sindh,2016-03-02
C000238,50,Female,Unemployed,42406.95,Mass Market,Peshawar,Khyber Pakhtunkhwa,2022-10-16
C000239,60,Male,Student,13718.31,Mass Market,Gujranwala,Punjab,2015-07-26
C000240,44,Male,Self-Employed,59677.56,Mass Market,Rawalpindi,Punjab,2018-09-19
C000241,45,Male,Business Owner,59014.55,Mass Market,Abbottabad,Khyber Pakhtunkhwa,2018-10-30
C000242,36,Female,Salaried,81403.07,Mass Market,Abbottabad,Khyber Pakhtunkhwa,2016-01-01
C000243,38,Female,Salaried,74021.47,Mass Market,Rawalpindi,Punjab,2023-02-13
C000244,38,Male,Self-Employed,42574.63,Mass Market,Sukkur,Sindh,2022-10-24
C000245,35,Female,Business Owner,57936.14,Mass Market,Sukkur,Sindh,2023-08-17
C000246,40,Male,Salaried,153555.41,Mass Affluent,Peshawar,Khyber Pakhtunkhwa,2023-01-22
C000247,46,Male,Salaried,48007.15,Mass Market,Sukkur,Sindh,2016-01-02
C000248,40,Female,Self-Employed,48884.38,Mass Market,Rawalpindi,Punjab,2016-05-18
C000249,36,Male,Salaried,35360.32,Mass Market,Gujranwala,Punjab,2023-05-31
C000250,40,Female,Salaried,93628.37,Affluent,Gujranwala,Punjab,2016-12-07
C000251,28,Male,Salaried,112773.86,Mass Affluent,Hyderabad,Sindh,2020-09-30
C000252,48,Male,Retired,103251.58,Premium,Mardan,Khyber Pakhtunkhwa,2017-02-24
C000253,34,Male,Salaried,184662.94,Affluent,Larkana,Sindh,2021-08-10
C000254,26,Female,Salaried,101284.76,Mass Market,Multan,Punjab,2022-07-06
C000255,44,Female,Salaried,87338.24,Mass Affluent,Lahore,Punjab,2016-03-04
C000256,45,Female,Salaried,84868.77,Mass Market,Mardan,Khyber Pakhtunkhwa,2023-08-07
C000257,30,Female,Business Owner,328285.68,Affluent,Abbottabad,Khyber Pakhtunkhwa,2018-04-12
C000258,46,Female,Salaried,137187.97,Mass Market,Sialkot,Punjab,2018-07-21
C000259,46,Male,Salaried,73661.74,Mass Market,Faisalabad,Punjab,2023-11-04
C000260,61,Female,Retired,107448.97,Affluent,Karachi,Sindh,2023-05-29
C000261,36,Male,Business Owner,417986.41,Affluent,Multan,Punjab,2020-12-24
C000262,38,Male,Salaried,1191338.5,Premium,Abbottabad,Khyber Pakhtunkhwa,2015-03-09
C000263,32,Female,Salaried,30597.06,Mass Market,Rawalpindi,Punjab,2018-01-18
C000264,44,Male,Student,51126.86,Mass Market,Gujranwala,Punjab,2018-07-26
C000265,39,Male,Business Owner,83201.4,Mass Market,Turbat,Balochistan,2023-02-17
C000266,50,Female,Retired,37852.92,Mass Market,Rawalpindi,Punjab,2016-01-17
C000267,34,Female,Salaried,23902.95,Mass Market,Lahore,Punjab,2022-12-17
C000268,44,Male,Business Owner,53617.77,Mass Market,Faisalabad,Punjab,2023-11-13
C000269,36,Male,Salaried,104243.36,Mass Affluent,Faisalabad,Punjab,2017-01-31
C000270,21,Female,Salaried,107303.3,Mass Market,Rawalpindi,Punjab,2016-10-07
C000271,46,Male,Business Owner,125696.44,Mass Affluent,Gujranwala,Punjab,2023-11-13
C000272,21,Male,Business Owner,239394.15,Affluent,Lahore,Punjab,2023-05-28
C000273,37,Female,Salaried,104027.96,Mass Affluent,Faisalabad,Punjab,2018-10-24
C000274,37,Male,Salaried,67906.29,Mass Market,Karachi,Sindh,2021-12-26
C000275,39,Male,Business Owner,61310.71,Mass Market,Larkana,Sindh,2023-10-03
C000276,40,Male,Salaried,44441.13,Mass Market,Gujranwala,Punjab,2023-01-06
C000277,39,Female,Salaried,143719.33,Mass Affluent,Gujranwala,Punjab,2017-11-19
C000278,43,Female,Salaried,48549.68,Mass Market,Sukkur,Sindh,2015-11-04
C000279,38,Female,Salaried,22405.04,Mass Market,Turbat,Balochistan,2019-08-09
C000280,68,Female,Student,55652.67,Premium,Mardan,Khyber Pakhtunkhwa,2015-05-25
C000281,35,Male,Salaried,161635.6,Mass Affluent,Sialkot,Punjab,2016-04-29
C000282,26,Male,Self-Employed,302079.57,Affluent,Gujranwala,Punjab,2018-07-19
C000283,23,Male,Business Owner,50714.24,Mass Market,Lahore,Punjab,2016-02-15
C000284,46,Male,Salaried,272436.82,Affluent,Faisalabad,Punjab,2017-07-04
C000285,21,Male,Self-Employed,81914.17,Mass Market,Hyderabad,Sindh,2020-12-11
C000286,26,Female,Salaried,47193.5,Mass Market,Sialkot,Punjab,2023-07-25
C000287,24,Male,Student,59701.78,Affluent,Faisalabad,Punjab,2017-06-21
C000288,44,Male,Business Owner,159867.84,Affluent,Sialkot,Punjab,2020-09-21
C000289,54,Male,Business Owner,63959.26,Mass Market,Larkana,Sindh,2019-04-10
C000290,29,Male,Salaried,60590.15,Mass Market,Faisalabad,Punjab,2020-12-01
C000291,44,Male,Student,44261.05,Mass Market,Swat,Khyber Pakhtunkhwa,2016-02-08
C000292,21,Female,Self-Employed,91683.39,Mass Affluent,Faisalabad,Punjab,2021-07-20
C000293,31,Male,Salaried,205832.3,Affluent,Gwadar,Balochistan,2020-04-20
C000294,46,Female,Salaried,35319.55,Mass Market,Lahore,Punjab,2020-03-21
C000295,36,Female,Salaried,48375.11,Mass Market,Peshawar,Khyber Pakhtunkhwa,2015-09-13
C000296,50,Male,Salaried,143250.28,Mass Affluent,Gwadar,Balochistan,2023-09-10
C000297,21,Male,Salaried,65651.07,Mass Affluent,Islamabad,Islamabad Capital,2016-07-26
C000298,31,Male,Retired,78741.62,Mass Market,Swat,Khyber Pakhtunkhwa,2015-02-16
C000299,44,Female,Unemployed,31495.57,Mass Affluent,Swat,Khyber Pakhtunkhwa,2016-04-27
C000300,44,Female,Salaried,601037.59,Premium,Larkana,Sindh,2021-02-16
C000301,45,Male,Retired,31838.26,Mass Market,Abbottabad,Khyber Pakhtunkhwa,2016-03-28
C000302,41,Male,Business Owner,73348.11,Mass Affluent,Rawalpindi,Punjab,2023-06-16
C000303,26,Female,Salaried,125150.51,Mass Affluent,Hyderabad,Sindh,2020-08-16
C000304,30,Male,Retired,119129.27,Mass Affluent,Karachi,Sindh,2017-11-13
C000305,64,Male,Business Owner,263110.0,Affluent,Mardan,Khyber Pakhtunkhwa,2015-05-01
C000306,25,Female,Self-Employed,137771.86,Mass Affluent,Karachi,Sindh,2015-11-13
