payment_id,loan_id,payment_date,payment_amount,payment_status,days_late
P00000056,L0000003,2024-06-22,35658.89,Paid,0
P00000057,L0000003,2024-08-25,36845.41,Paid,0
P00000058,L0000003,2024-10-28,38233.54,Paid,0
P00000059,L0000003,2024-12-31,40337.23,Paid,0
P00000060,L0000004,2021-04-03,96052.08,Paid,0
P00000061,L0000004,2021-05-04,0.0,Missed,42
P00000062,L0000004,2021-06-04,88694.96,Paid,0
P00000063,L0000004,2021-07-05,87467.67,Late,18
P00000064,L0000004,2021-08-05,89440.82,Late,61
P00000065,L0000004,2021-09-05,97967.19,Late,16
P00000066,L0000004,2021-10-06,86102.21,Paid,0
P00000067,L0000004,2021-11-06,0.0,Missed,74
P00000068,L0000004,2021-12-07,90858.76,Paid,0
P00000069,L0000004,2022-01-07,94073.15,Late,12
P00000070,L0000004,2022-02-07,97874.43,Late,26
P00000071,L0000004,2022-03-11,95145.36,Paid,0
P00000072,L0000004,2022-04-11,94703.09,Paid,0
P00000073,L0000004,2022-05-12,94235.71,Late,26
P00000074,L0000004,2022-06-12,92503.54,Late,42
P00000075,L0000004,2022-07-13,83190.61,Paid,0
P00000076,L0000004,2022-08-13,88945.68,Late,59
P00000077,L0000004,2022-09-13,96487.42,Paid,0
P00000078,L0000004,2022-10-14,84333.29,Paid,0
P00000079,L0000004,2022-11-14,0.0,Missed,49
P00000080,L0000004,2022-12-15,0.0,Missed,43
P00000081,L0000004,2023-01-15,83302.4,Paid,0
P00000082,L0000004,2023-02-16,98873.11,Late,43
P00000083,L0000004,2023-03-19,97769.77,Late,51
P00000084,L0000004,2023-04-19,0.0,Missed,30
P00000085,L0000004,2023-05-20,98855.03,Paid,0
P00000086,L0000004,2023-06-20,87703.23,Paid,0
P00000087,L0000004,2023-07-21,93508.69,Late,15
P00000088,L0000004,2023-08-21,89281.51,Late,32
P00000089,L0000004,2023-09-21,95186.18,Paid,0
P00000090,L0000004,2023-10-22,94743.22,Late,21
P00000091,L0000004,2023-11-22,84844.84,Paid,0
P00000092,L0000004,2023-12-23,88871.65,Late,12
P00000093,L0000004,2024-01-24,97723.02,Paid,0
P00000094,L0000004,2024-02-24,91511.38,Paid,0
P00000095,L0000004,2024-03-26,89419.06,Late,11
P00000096,L0000004,2024-04-26,95237.73,Paid,0
P00000097,L0000004,2024-05-27,91565.01,Paid,0
P00000098,L0000004,2024-06-27,90151.14,Paid,0
P00000099,L0000004,2024-07-28,0.0,Missed,35
P00000100,L0000004,2024-08-28,93098.58,Paid,0
P00000101,L0000004,2024-09-28,93363.17,Late,53
P00000102,L0000004,2024-10-29,0.0,Missed,42
P00000103,L0000004,2024-11-29,91649.08,Paid,0
P00000104,L0000004,2024-12-31,83125.31,Late,18
P00000105,L0000005,2022-05-25,0.0,Missed,148
P00000106,L0000005,2022-06-30,4974.98,Late,103
P00000107,L0000005,2022-08-06,0.0,Missed,57
P00000108,L0000005,2022-09-11,5218.59,Late,85
P00000109,L0000005,2022-10-18,0.0,Missed,144
P00000110,L0000005,2022-11-23,5463.48,Late,138
P00000111,L0000005,2022-12-30,0.0,Missed,35
P00000112,L0000005,2023-02-05,5682.37,Late,115
P00000113,L0000005,2023-03-13,5305.48,Late,109
P00000114,L0000005,2023-04-19,5776.89,Late,59
P00000115,L0000005,2023-05-25,5017.52,Late,121
P00000116,L0000005,2023-07-01,5058.71,Late,90
P00000117,L0000005,2023-08-06,5514.37,Late,58
P00000118,L0000005,2023-09-12,5168.99,Late,62
P00000119,L0000005,2023-10-19,5834.54,Paid,0
P00000120,L0000005,2023-11-24,5366.52,Late,86
P00000121,L0000005,2023-12-31,5451.32,Late,80
P00000122,L0000005,2024-02-05,5311.88,Late,47
P00000123,L0000005,2024-03-13,0.0,Missed,135
P00000124,L0000005,2024-04-18,5700.96,Paid,0
P00000125,L0000005,2024-05-25,5187.4,Late,128
P00000126,L0000005,2024-07-01,5930.71,Late,120
P00000127,L0000005,2024-08-06,0.0,Missed,113
P00000128,L0000005,2024-09-12,5944.03,Late,120
P00000129,L0000005,2024-10-18,5346.79,Late,142
P00000130,L0000005,2024-11-24,5007.49,Late,60
P00000131,L0000005,2024-12-31,5159.03,Late,122
P00000132,L0000006,2023-08-09,11674.43,Paid,0
P00000133,L0000006,2023-09-14,13444.07,Paid,0
P00000134,L0000006,2023-10-20,11697.01,Paid,0
P00000135,L0000006,2023-11-26,11272.4,Paid,0
P00000136,L0000006,2024-01-01,11464.07,Paid,0
P00000137,L0000006,2024-02-07,12057.09,Paid,0
P00000138,L0000006,2024-03-14,12607.9,Paid,0
P00000139,L0000006,2024-04-20,11798.75,Paid,0
P00000140,L0000006,2024-05-26,12459.75,Paid,0
P00000141,L0000006,2024-07-01,12080.71,Paid,0
P00000142,L0000006,2024-08-07,12320.46,Paid,0
P00000143,L0000006,2024-09-12,11393.14,Paid,0
P00000144,L0000006,2024-10-19,11809.7,Paid,0
P00000145,L0000006,2024-11-24,12538.89,Paid,0
P00000146,L0000006,2024-12-31,11839.08,Paid,0
P00000147,L0000007,2023-02-11,19635.86,Paid,1
P00000148,L0000007,2023-03-15,22589.47,Paid,0
P00000149,L0000007,2023-04-17,20017.02,Paid,0
P00000150,L0000007,2023-05-20,21136.46,Paid,2
P00000151,L0000007,2023-06-22,21277.45,Paid,0
P00000152,L0000007,2023-07-25,22300.97,Paid,0
P00000153,L0000007,2023-08-26,21587.18,Paid,2
P00000154,L0000007,2023-09-28,19395.55,Paid,1
P00000155,L0000007,2023-10-31,19737.52,Paid,1
P00000156,L0000007,2023-12-03,22722.52,Paid,2
P00000157,L0000007,2024-01-05,20062.25,Paid,2
P00000158,L0000007,2024-02-06,21076.06,Paid,2
P00000159,L0000007,2024-03-10,21064.48,Paid,0
P00000160,L0000007,2024-04-12,20739.49,Paid,0
P00000161,L0000007,2024-05-15,21340.15,Paid,1
P00000162,L0000007,2024-06-17,21940.75,Paid,2
P00000163,L0000007,2024-07-19,22130.97,Paid,1
P00000164,L0000007,2024-08-21,21407.86,Paid,0
P00000165,L0000007,2024-09-23,21545.63,Paid,0
P00000166,L0000007,2024-10-26,23207.43,Paid,2
P00000167,L0000007,2024-11-28,20048.69,Paid,2
P00000168,L0000007,2024-12-31,19638.06,Paid,2
P00000169,L0000008,2022-01-31,32109.0,Paid,0
P00000170,L0000008,2022-03-08,30414.29,Paid,0
P00000171,L0000008,2022-04-14,31740.33,Paid,0
P00000172,L0000008,2022-05-21,32423.1,Paid,0
P00000173,L0000008,2022-06-26,31995.76,Paid,0
P00000174,L0000008,2022-08-02,31620.66,Paid,0
P00000175,L0000008,2022-09-08,32093.81,Paid,0
P00000176,L0000008,2022-10-15,30440.81,Paid,0
P00000177,L0000008,2022-11-20,33079.44,Paid,0
P00000178,L0000008,2022-12-27,33052.81,Paid,0
P00000179,L0000008,2023-02-02,34551.58,Late,4
P00000180,L0000008,2023-03-10,32997.49,Paid,0
P00000181,L0000008,2023-04-16,30694.96,Paid,0
P00000182,L0000008,2023-05-23,33765.68,Paid,0
P00000183,L0000008,2023-06-29,32281.28,Paid,0
P00000184,L0000008,2023-08-04,35127.87,Paid,0
P00000185,L0000008,2023-09-10,34244.94,Paid,0
P00000186,L0000008,2023-10-17,35069.23,Paid,0
P00000187,L0000008,2023-11-23,32663.26,Paid,0
P00000188,L0000008,2023-12-29,32509.64,Paid,0
P00000189,L0000008,2024-02-04,32503.3,Paid,0
P00000190,L0000008,2024-03-12,31086.94,Paid,0
P00000191,L0000008,2024-04-17,34837.21,Paid,0
P00000192,L0000008,2024-05-24,34838.86,Paid,0
P00000193,L0000008,2024-06-30,31424.47,Paid,0
P00000194,L0000008,2024-08-06,34016.38,Paid,0
P00000195,L0000008,2024-09-11,34082.54,Paid,0
P00000196,L0000008,2024-10-18,30734.48,Paid,0
P00000197,L0000008,2024-11-24,34674.33,Paid,0
P00000198,L0000008,2024-12-31,32994.9,Paid,0
P00000199,L0000009,2024-01-07,30580.64,Paid,0
P00000200,L0000009,2024-02-15,30802.59,Paid,0
P00000201,L0000009,2024-03-26,27287.68,Paid,0
P00000202,L0000009,2024-05-05,27062.63,Late,4
P00000203,L0000009,2024-06-14,31478.23,Paid,0
P00000204,L0000009,2024-07-24,28078.38,Paid,0
P00000205,L0000009,2024-09-02,26737.31,Paid,0
P00000206,L0000009,2024-10-12,30849.64,Paid,0
P00000207,L0000009,2024-11-21,31811.63,Paid,0
P00000208,L0000009,2024-12-31,26812.02,Paid,0
P00000209,L0000010,2024-06-03,33069.6,Paid,0
P00000210,L0000010,2024-08-12,29481.3,Paid,0
P00000211,L0000010,2024-10-21,29966.24,Paid,0
P00000212,L0000010,2024-12-31,31037.47,Late,1
P00000213,L0000011,2023-03-28,23086.0,Paid,0
P00000214,L0000011,2023-05-09,21315.53,Late,7
P00000215,L0000011,2023-06-21,23894.91,Paid,0
P00000216,L0000011,2023-08-03,22674.69,Paid,0
P00000217,L0000011,2023-09-15,21992.21,Paid,0
P00000218,L0000011,2023-10-28,23095.05,Paid,0
P00000219,L0000011,2023-12-10,22440.46,Paid,0
P00000220,L0000011,2024-01-22,23283.39,Paid,0
P00000221,L0000011,2024-03-05,23703.49,Paid,0
P00000222,L0000011,2024-04-17,22881.75,Paid,0
P00000223,L0000011,2024-05-30,22186.25,Late,6
P00000224,L0000011,2024-07-12,24352.71,Paid,0
P00000225,L0000011,2024-08-24,22549.69,Paid,0
P00000226,L0000011,2024-10-06,24420.57,Paid,0
P00000227,L0000011,2024-11-18,22879.94,Paid,0
P00000228,L0000011,2024-12-31,23592.02,Paid,0
P00000229,L0000012,2022-04-06,22660.65,Late,39
P00000230,L0000012,2022-05-13,23436.59,Paid,0
P00000231,L0000012,2022-06-19,25555.92,Paid,0
P00000232,L0000012,2022-07-26,25985.92,Late,34
P00000233,L0000012,2022-09-01,25198.54,Paid,0
P00000234,L0000012,2022-10-08,25059.73,Late,60
P00000235,L0000012,2022-11-14,25065.26,Late,62
P00000236,L0000012,2022-12-21,26524.54,Paid,0
P00000237,L0000012,2023-01-27,0.0,Missed,23
P00000238,L0000012,2023-03-05,24226.59,Late,18
P00000239,L0000012,2023-04-11,26335.09,Late,16
P00000240,L0000012,2023-05-18,26503.08,Paid,0
P00000241,L0000012,2023-06-24,23508.06,Late,62
P00000242,L0000012,2023-07-31,25607.68,Paid,0
P00000243,L0000012,2023-09-06,25387.21,Late,68
P00000244,L0000012,2023-10-13,25984.69,Late,23
P00000245,L0000012,2023-11-19,25832.17,Late,19
P00000246,L0000012,2023-12-26,24997.6,Paid,0
P00000247,L0000012,2024-02-01,23848.23,Paid,0
P00000248,L0000012,2024-03-09,24381.72,Paid,0
P00000249,L0000012,2024-04-15,24324.7,Paid,0
P00000250,L0000012,2024-05-22,25123.17,Paid,0
P00000251,L0000012,2024-06-28,22374.66,Paid,0
P00000252,L0000012,2024-08-04,0.0,Missed,30
P00000253,L0000012,2024-09-10,0.0,Missed,65
P00000254,L0000012,2024-10-17,24924.74,Paid,0
P00000255,L0000012,2024-11-23,26021.5,Paid,0
P00000256,L0000012,2024-12-31,26617.06,Paid,0
P00000257,L0000013,2022-02-08,27818.3,Paid,2
P00000258,L0000013,2022-03-15,28407.05,Paid,0
P00000259,L0000013,2022-04-19,29217.04,Paid,1
P00000260,L0000013,2022-05-24,29809.99,Paid,0
P00000261,L0000013,2022-06-28,27494.76,Paid,0
P00000262,L0000013,2022-08-03,29664.74,Paid,0
P00000263,L0000013,2022-09-07,29003.59,Paid,1
P00000264,L0000013,2022-10-12,31100.91,Paid,1
P00000265,L0000013,2022-11-16,31762.81,Paid,0
P00000266,L0000013,2022-12-22,28146.5,Paid,0
P00000267,L0000013,2023-01-26,28777.37,Paid,1
P00000268,L0000013,2023-03-02,31750.63,Paid,2
P00000269,L0000013,2023-04-06,29343.75,Paid,0
P00000270,L0000013,2023-05-12,28762.35,Paid,0
P00000271,L0000013,2023-06-16,26858.65,Paid,0
P00000272,L0000013,2023-07-21,31236.79,Paid,2
P00000273,L0000013,2023-08-25,26891.79,Paid,0
P00000274,L0000013,2023-09-29,31467.83,Paid,2
P00000275,L0000013,2023-11-04,28551.22,Paid,1
P00000276,L0000013,2023-12-09,27950.22,Paid,1
P00000277,L0000013,2024-01-13,30601.38,Paid,2
P00000278,L0000013,2024-02-17,27629.91,Paid,0
P00000279,L0000013,2024-03-24,31324.93,Paid,2
P00000280,L0000013,2024-04-28,31519.15,Paid,2
P00000281,L0000013,2024-06-02,27505.4,Paid,0
P00000282,L0000013,2024-07-07,29731.4,Paid,1
P00000283,L0000013,2024-08-12,31713.35,Paid,0
P00000284,L0000013,2024-09-16,28374.28,Paid,0
P00000285,L0000013,2024-10-21,30316.63,Paid,0
P00000286,L0000013,2024-11-25,31013.87,Paid,2
P00000287,L0000013,2024-12-31,28956.7,Paid,0
P00000288,L0000014,2023-07-15,79240.52,Paid,0
P00000289,L0000014,2023-08-25,78448.46,Paid,0
P00000290,L0000014,2023-10-05,79529.18,Paid,0
P00000291,L0000014,2023-11-15,85098.64,Paid,0
P00000292,L0000014,2023-12-26,81611.13,Paid,0
P00000293,L0000014,2024-02-05,83433.4,Paid,0
P00000294,L0000014,2024-03-17,91760.92,Paid,0
P00000295,L0000014,2024-04-28,90796.62,Paid,0
P00000296,L0000014,2024-06-08,91643.72,Paid,0
P00000297,L0000014,2024-07-19,85933.18,Paid,0
P00000298,L0000014,2024-08-29,91619.05,Paid,0
P00000299,L0000014,2024-10-09,85660.2,Paid,0
P00000300,L0000014,2024-11-19,78443.55,Paid,0
P00000301,L0000014,2024-12-31,83049.69,Paid,0
P00000302,L0000015,2022-04-12,93282.19,Paid,0
P00000303,L0000015,2022-05-27,89290.34,Paid,0
P00000304,L0000015,2022-07-11,81223.22,Paid,0
P00000305,L0000015,2022-08-25,89571.93,Paid,0
P00000306,L0000015,2022-10-09,86453.79,Paid,0
P00000307,L0000015,2022-11-23,89198.24,Paid,0
P00000308,L0000015,2023-01-08,88093.02,Paid,0
P00000309,L0000015,2023-02-22,90704.97,Paid,0
P00000310,L0000015,2023-04-08,90674.32,Paid,0
P00000311,L0000015,2023-05-23,92375.23,Paid,0
P00000312,L0000015,2023-07-07,86774.86,Paid,0
P00000313,L0000015,2023-08-22,93957.01,Paid,0
P00000314,L0000015,2023-10-06,92208.12,Paid,0
P00000315,L0000015,2023-11-20,84836.23,Paid,0
P00000316,L0000015,2024-01-04,85010.15,Late,7
P00000317,L0000015,2024-02-18,83856.87,Paid,0
P00000318,L0000015,2024-04-03,92444.68,Paid,0
P00000319,L0000015,2024-05-19,84973.43,Paid,0
P00000320,L0000015,2024-07-03,91468.67,Paid,0
P00000321,L0000015,2024-08-17,80907.43,Paid,0
P00000322,L0000015,2024-10-01,86322.67,Paid,0
P00000323,L0000015,2024-11-15,86176.96,Paid,0
P00000324,L0000015,2024-12-31,83143.44,Paid,0
P00000325,L0000016,2023-06-13,17451.71,Paid,0
P00000326,L0000016,2023-08-15,15690.13,Paid,0
P00000327,L0000016,2023-10-17,17388.89,Paid,2
P00000328,L0000016,2023-12-19,16633.54,Paid,1
P00000329,L0000016,2024-02-20,17575.75,Paid,0
P00000330,L0000016,2024-04-23,18141.42,Paid,2
P00000331,L0000016,2024-06-25,17659.97,Paid,2
P00000332,L0000016,2024-08-27,16064.51,Paid,0
P00000333,L0000016,2024-10-29,18350.04,Paid,2
P00000334,L0000016,2024-12-31,18366.0,Paid,0
P00000335,L0000017,2022-02-09,2322.77,Paid,2
P00000336,L0000017,2022-04-08,2505.61,Paid,0
P00000337,L0000017,2022-06-06,2278.35,Paid,0
P00000338,L0000017,2022-08-04,2475.06,Paid,0
P00000339,L0000017,2022-10-01,2261.13,Paid,0
P00000340,L0000017,2022-11-29,2334.18,Paid,2
P00000341,L0000017,2023-01-27,2382.01,Paid,1
P00000342,L0000017,2023-03-26,2396.08,Paid,0
P00000343,L0000017,2023-05-24,2404.93,Paid,1
P00000344,L0000017,2023-07-22,2368.9,Paid,0
P00000345,L0000017,2023-09-18,2627.84,Paid,0
P00000346,L0000017,2023-11-16,2459.97,Paid,1
P00000347,L0000017,2024-01-14,2293.61,Paid,0
P00000348,L0000017,2024-03-12,2462.16,Paid,0
P00000349,L0000017,2024-05-10,2374.27,Paid,0
P00000350,L0000017,2024-07-08,2300.37,Paid,2
P00000351,L0000017,2024-09-04,2562.09,Paid,0
P00000352,L0000017,2024-11-02,2671.51,Paid,1
P00000353,L0000017,2024-12-31,2319.68,Paid,2
P00000354,L0000018,2022-12-01,32594.06,Paid,0
P00000355,L0000018,2023-01-08,30113.57,Paid,0
P00000356,L0000018,2023-02-15,32677.96,Paid,0
P00000357,L0000018,2023-03-25,33636.31,Paid,0
P00000358,L0000018,2023-05-02,32138.63,Paid,0
P00000359,L0000018,2023-06-09,33614.75,Paid,0
P00000360,L0000018,2023-07-17,29974.42,Paid,0
P00000361,L0000018,2023-08-24,30490.01,Paid,0
P00000362,L0000018,2023-10-01,30119.75,Paid,0
P00000363,L0000018,2023-11-08,32902.87,Paid,0
P00000364,L0000018,2023-12-16,29913.31,Paid,0
P00000365,L0000018,2024-01-23,28650.08,Paid,0
P00000366,L0000018,2024-03-01,28856.56,Paid,0
P00000367,L0000018,2024-04-08,30221.66,Paid,0
P00000368,L0000018,2024-05-16,31443.5,Paid,0
P00000369,L0000018,2024-06-23,31956.55,Late,6
P00000370,L0000018,2024-07-31,29238.58,Paid,0
P00000371,L0000018,2024-09-07,30584.41,Paid,0
P00000372,L0000018,2024-10-15,29211.54,Paid,0
P00000373,L0000018,2024-11-22,31570.7,Paid,0
P00000374,L0000018,2024-12-31,31671.52,Paid,0
P00000375,L0000019,2024-06-19,31566.07,Paid,0
P00000376,L0000019,2024-07-28,31168.75,Paid,0
P00000377,L0000019,2024-09-05,30937.13,Paid,0
P00000378,L0000019,2024-10-14,33182.25,Paid,0
P00000379,L0000019,2024-11-22,32956.34,Paid,0
P00000380,L0000019,2024-12-31,32152.99,Paid,0
P00000381,L0000020,2022-09-25,187359.38,Paid,0
P00000382,L0000020,2022-10-28,189100.1,Paid,2
P00000383,L0000020,2022-11-30,195780.92,Paid,0
P00000384,L0000020,2023-01-02,193851.66,Paid,2
P00000385,L0000020,2023-02-04,197273.44,Paid,1
P00000386,L0000020,2023-03-09,193488.46,Paid,2
P00000387,L0000020,2023-04-11,181156.35,Paid,1
P00000388,L0000020,2023-05-14,195042.01,Paid,0
P00000389,L0000020,2023-06-16,204988.21,Paid,2
P00000390,L0000020,2023-07-20,213909.36,Paid,2
P00000391,L0000020,2023-08-22,212177.76,Paid,1
P00000392,L0000020,2023-09-24,206780.71,Paid,1
P00000393,L0000020,2023-10-27,199887.75,Paid,2
P00000394,L0000020,2023-11-29,189053.89,Paid,0
P00000395,L0000020,2024-01-01,200345.4,Paid,0
P00000396,L0000020,2024-02-03,202356.62,Paid,2
P00000397,L0000020,2024-03-07,185859.14,Paid,2
P00000398,L0000020,2024-04-10,202820.58,Paid,0
P00000399,L0000020,2024-05-13,206316.05,Paid,1
P00000400,L0000020,2024-06-15,195504.49,Paid,0
P00000401,L0000020,2024-07-18,197487.21,Paid,2
P00000402,L0000020,2024-08-20,200895.81,Paid,1
P00000403,L0000020,2024-09-22,205575.17,Paid,0
P00000404,L0000020,2024-10-25,193259.19,Paid,2
P00000405,L0000020,2024-11-27,215608.49,Paid,0
P00000406,L0000020,2024-12-31,189730.5,Paid,0
P00000407,L0000021,2021-11-13,36657.68,Paid,2
P00000408,L0000021,2022-01-02,36402.95,Paid,1
P00000409,L0000021,2022-02-21,34896.67,Paid,0
P00000410,L0000021,2022-04-13,33055.97,Paid,0
P00000411,L0000021,2022-06-02,30884.23,Paid,1
P00000412,L0000021,2022-07-22,32962.41,Paid,0
P00000413,L0000021,2022-09-11,32104.79,Paid,1
P00000414,L0000021,2022-10-31,31249.9,Paid,1
P00000415,L0000021,2022-12-20,34735.96,Paid,2
P00000416,L0000021,2023-02-09,35915.27,Paid,1
P00000417,L0000021,2023-03-31,36516.51,Paid,1
P00000418,L0000021,2023-05-20,34993.48,Paid,2
P00000419,L0000021,2023-07-10,35073.96,Paid,0
P00000420,L0000021,2023-08-29,30961.74,Paid,1
P00000421,L0000021,2023-10-19,33279.25,Paid,0
P00000422,L0000022,2023-01-08,62527.95,Paid,0
P00000423,L0000022,2023-02-25,0.0,Missed,58
P00000424,L0000022,2023-04-14,58112.17,Late,20
P00000425,L0000022,2023-06-01,0.0,Missed,9
P00000426,L0000022,2023-07-19,61425.35,Late,33
P00000427,L0000022,2023-09-06,61325.45,Paid,0
P00000428,L0000022,2023-10-24,54656.77,Late,60
P00000429,L0000022,2023-12-11,52913.45,Late,69
P00000430,L0000022,2024-01-28,54402.58,Late,25
P00000431,L0000022,2024-03-16,57804.16,Paid,0
P00000432,L0000022,2024-05-04,62508.83,Paid,0
P00000433,L0000022,2024-06-21,54357.07,Paid,0
P00000434,L0000022,2024-08-08,58639.74,Paid,0
P00000435,L0000022,2024-09-25,60858.11,Paid,0
P00000436,L0000022,2024-11-12,58581.02,Late,31
P00000437,L0000022,2024-12-31,0.0,Missed,32
P00000438,L0000023,2021-11-27,69259.62,Paid,0
P00000439,L0000023,2022-01-14,59316.21,Paid,0
P00000440,L0000023,2022-03-04,65349.32,Paid,1
P00000441,L0000023,2022-04-22,68668.39,Paid,2
P00000442,L0000023,2022-06-09,66589.44,Paid,2
P00000443,L0000023,2022-07-28,59958.69,Paid,2
P00000444,L0000023,2022-09-15,60569.94,Paid,1
P00000445,L0000023,2022-11-02,69686.07,Paid,2
P00000446,L0000023,2022-12-21,67491.54,Paid,1
P00000447,L0000023,2023-02-08,66765.9,Paid,1
P00000448,L0000023,2023-03-28,65668.29,Paid,0
P00000449,L0000023,2023-05-16,58522.51,Paid,1
P00000450,L0000023,2023-07-04,66200.83,Paid,2
P00000451,L0000023,2023-08-21,68474.63,Paid,1
P00000452,L0000023,2023-10-09,68712.26,Paid,0
P00000453,L0000023,2023-11-27,60902.88,Paid,1
P00000454,L0000023,2024-01-14,59704.31,Paid,2
P00000455,L0000023,2024-03-03,58189.46,Paid,2
P00000456,L0000023,2024-04-21,61405.96,Paid,0
P00000457,L0000023,2024-06-08,66722.3,Paid,0
P00000458,L0000023,2024-07-27,62574.92,Paid,1
P00000459,L0000023,2024-09-14,58467.12,Paid,0
P00000460,L0000023,2024-11-02,61472.38,Paid,0
P00000461,L0000024,2024-03-01,40046.79,Paid,0
P00000462,L0000024,2024-05-16,34720.64,Paid,0
P00000463,L0000024,2024-07-31,38125.97,Late,3
P00000464,L0000024,2024-10-15,36986.83,Paid,0
P00000465,L0000024,2024-12-31,37493.94,Paid,0
P00000466,L0000025,2024-03-11,17326.62,Paid,0
P00000467,L0000025,2024-05-23,16683.24,Paid,0
P00000468,L0000025,2024-08-05,16291.1,Paid,0
P00000469,L0000025,2024-10-18,17141.94,Paid,0
P00000470,L0000025,2024-12-31,15000.89,Paid,0
P00000471,L0000026,2024-05-01,19645.75,Paid,0
P00000472,L0000026,2024-06-18,18451.37,Paid,0
P00000473,L0000026,2024-08-06,19721.05,Paid,0
P00000474,L0000026,2024-09-24,19650.75,Late,7
P00000475,L0000026,2024-11-12,20543.57,Paid,0
P00000476,L0000026,2024-12-31,18114.32,Paid,0
P00000477,L0000027,2023-07-05,35486.79,Paid,0
P00000478,L0000027,2023-08-15,37046.14,Late,5
P00000479,L0000027,2023-09-26,36379.31,Paid,0
P00000480,L0000027,2023-11-07,33959.56,Paid,0
P00000481,L0000027,2023-12-19,35862.77,Paid,0
P00000482,L0000027,2024-01-30,35937.65,Paid,0
P00000483,L0000027,2024-03-12,36753.83,Paid,0
P00000484,L0000027,2024-04-23,37894.51,Paid,0
P00000485,L0000027,2024-06-04,34396.19,Paid,0
P00000486,L0000027,2024-07-16,34025.67,Paid,0
P00000487,L0000027,2024-08-27,40464.82,Paid,0
P00000488,L0000027,2024-10-08,35397.43,Paid,0
P00000489,L0000027,2024-11-19,38870.97,Paid,0
P00000490,L0000027,2024-12-31,40217.05,Paid,0
P00000491,L0000028,2021-10-11,20115.51,Paid,0
P00000492,L0000028,2021-11-22,18721.46,Paid,0
P00000493,L0000028,2022-01-04,18473.13,Paid,1
P00000494,L0000028,2022-02-15,17947.16,Paid,0
P00000495,L0000028,2022-03-30,20395.9,Paid,2
P00000496,L0000028,2022-05-11,20065.53,Paid,0
P00000497,L0000028,2022-06-23,17753.25,Paid,2
P00000498,L0000028,2022-08-04,20214.78,Paid,1
P00000499,L0000028,2022-09-16,17779.84,Paid,1
P00000500,L0000029,2022-05-30,22659.68,Paid,0
