"customer_id","customer_segment","region","age","employment_status","annual_income","loan_count","total_loan_amount","total_outstanding","payment_count","late_payment_count","average_days_late","maximum_days_late","late_payment_rate","payment_behavior_flag"
"C004625","Premium","Punjab",25,"Salaried","738914.67","8","38291809.57","32954457.22","133","5","0.20",7,"3.76","Repeated Late Payments"
"C007928","Affluent","Sindh",44,"Salaried","416226.16","7","39602589.16","32911853.69","95","10","0.23",5,"10.53","Repeated Late Payments"
"C003893","Affluent","Sindh",31,"Salaried","292706.57","7","39511987.01","31843374.92","87","17","0.38",4,"19.54","Repeated Late Payments"
"C005150","Affluent","Punjab",34,"Salaried","509752.37","6","46781523.12","31580805.88","83","26","9.42",144,"31.33","High Payment Concern"
"C007398","Affluent","Punjab",21,"Salaried","555138.48","6","37730645.30","31580547.16","77","15","0.42",7,"19.48","Repeated Late Payments"
"C004955","Mass Affluent","Punjab",48,"Self-Employed","105608.64","8","36261759.01","31148420.25","149","19","2.27",62,"12.75","High Payment Concern"
"C002738","Affluent","Sindh",59,"Salaried","192066.57","5","36130025.59","31054085.06","96","20","0.39",6,"20.83","Repeated Late Payments"
"C009472","Mass Affluent","Punjab",29,"Salaried","150391.31","6","41992315.74","30023796.07","115","17","0.40",7,"14.78","Repeated Late Payments"
"C003771","Affluent","Balochistan",41,"Salaried","191784.32","6","44025562.92","30002333.52","97","21","0.52",7,"21.65","Repeated Late Payments"
"C000980","Mass Affluent","Punjab",32,"Business Owner","160158.82","7","36226962.77","29538046.74","98","33","8.60",73,"33.67","High Payment Concern"
"C007933","Mass Market","Punjab",54,"Salaried","51384.82","8","34503120.53","29272319.68","148","21","0.26",7,"14.19","Repeated Late Payments"
"C006357","Mass Affluent","Punjab",27,"Business Owner","114181.51","4","38063160.16","28589798.92","81","6","0.22",7,"7.41","Repeated Late Payments"
"C001919","Premium","Sindh",39,"Salaried","487650.67","5","31424666.18","27920653.47","53","4","0.13",2,"7.55","Repeated Late Payments"
"C001397","Affluent","Sindh",42,"Salaried","521713.85","5","34576735.18","27783195.70","52","5","0.13",2,"9.62","Repeated Late Payments"
"C000001","Mass Affluent","Khyber Pakhtunkhwa",30,"Business Owner","63199.21","8","39458158.72","27729200.78","102","36","0.64",6,"35.29","Repeated Late Payments"
"C007639","Affluent","Sindh",48,"Self-Employed","351149.85","7","47578194.81","27572590.71","163","81","6.99",71,"49.69","High Payment Concern"
"C007784","Premium","Punjab",42,"Self-Employed","885385.53","5","51506132.00","27535528.48","101","20","0.39",7,"19.80","Repeated Late Payments"
"C006135","Mass Market","Punjab",27,"Salaried","89218.40","6","30268091.45","27460182.38","114","3","0.14",7,"2.63","Repeated Late Payments"
"C007950","Affluent","Balochistan",42,"Salaried","243491.66","8","31569346.79","27337621.81","170","16","0.29",7,"9.41","Repeated Late Payments"
"C006808","Mass Market","Islamabad Capital",43,"Salaried","51073.17","6","32317122.69","27321235.67","98","3","0.17",7,"3.06","Repeated Late Payments"
"C006530","Mass Market","Punjab",29,"Salaried","101376.68","3","28901310.69","27283087.10","39","3","0.21",4,"7.69","Repeated Late Payments"
"C004891","Premium","Punjab",28,"Salaried","776006.22","6","38483319.94","27219135.74","149","17","0.31",7,"11.41","Repeated Late Payments"
"C007502","Premium","Khyber Pakhtunkhwa",39,"Salaried","622496.54","2","29733525.33","27120986.73","37","4","0.51",7,"10.81","Repeated Late Payments"
"C008609","Premium","Punjab",39,"Salaried","718496.27","5","41307828.93","26952648.19","57","12","0.28",2,"21.05","Repeated Late Payments"
"C002135","Affluent","Sindh",43,"Salaried","204713.21","6","33588572.61","26763199.33","83","22","3.63",74,"26.51","High Payment Concern"
"C006898","Premium","Punjab",51,"Salaried","704821.62","4","33051777.51","26724289.15","67","28","0.58",2,"41.79","Repeated Late Payments"
"C007914","Premium","Balochistan",51,"Business Owner","704684.86","2","30000000.00","26663085.77","17","0","0.00",0,"0.00","No Late Payments"
"C003953","Affluent","Islamabad Capital",51,"Salaried","257414.42","4","28712020.59","26570038.74","76","10","0.47",6,"13.16","Repeated Late Payments"
"C004874","Mass Affluent","Sindh",28,"Salaried","96878.32","4","29483490.66","26425048.80","45","10","0.40",4,"22.22","Repeated Late Payments"
"C009827","Premium","Balochistan",27,"Salaried","1322721.03","4","30468229.85","26368423.95","46","5","0.43",6,"10.87","Repeated Late Payments"
"C000481","Premium","Punjab",28,"Salaried","1155233.56","4","31378754.12","26364065.64","75","5","0.24",5,"6.67","Repeated Late Payments"
"C008454","Affluent","Islamabad Capital",45,"Salaried","285911.15","8","31791427.20","26197062.99","123","18","0.41",7,"14.63","Repeated Late Payments"
"C004505","Mass Affluent","Punjab",29,"Salaried","124766.27","3","31097221.06","26194090.33","39","2","0.23",6,"5.13","Occasional Late Payments"
"C007378","Mass Affluent","Islamabad Capital",37,"Self-Employed","144591.44","5","30554616.39","26093830.48","47","17","0.60",3,"36.17","Repeated Late Payments"
"C000262","Premium","Khyber Pakhtunkhwa",38,"Salaried","1191338.50","4","34816550.01","26050682.00","78","5","0.21",7,"6.41","Repeated Late Payments"
"C004839","Mass Affluent","Punjab",36,"Self-Employed","107737.58","7","32025482.75","25997284.71","98","10","0.27",7,"10.20","Repeated Late Payments"
"C002219","Premium","Islamabad Capital",35,"Salaried","805530.33","9","36306082.55","25981312.05","172","49","6.07",115,"28.49","High Payment Concern"
"C003448","Mass Market","Khyber Pakhtunkhwa",30,"Salaried","108255.43","5","32277751.16","25944187.08","77","19","0.69",7,"24.68","Repeated Late Payments"
"C007037","Premium","Punjab",52,"Business Owner","562065.42","3","31291928.49","25900260.48","34","2","0.24",4,"5.88","Occasional Late Payments"
"C000704","Mass Affluent","Balochistan",23,"Self-Employed","115747.83","3","29787062.44","25752504.10","61","2","0.16",7,"3.28","Occasional Late Payments"
"C009596","Affluent","Sindh",27,"Self-Employed","439406.08","4","37289289.76","25516303.21","75","16","0.44",6,"21.33","Repeated Late Payments"
"C000493","Affluent","Sindh",34,"Salaried","283506.78","5","29736002.76","25392380.96","81","20","6.41",64,"24.69","High Payment Concern"
"C002449","Mass Affluent","Sindh",34,"Salaried","127762.25","5","29998026.45","25295631.69","98","5","0.20",6,"5.10","Repeated Late Payments"
"C004434","Affluent","Punjab",46,"Salaried","285030.48","5","39388491.21","25284979.44","85","34","0.78",7,"40.00","Repeated Late Payments"
"C004169","Mass Affluent","Sindh",37,"Salaried","232031.07","6","29254000.89","25123296.10","67","18","3.54",71,"26.87","High Payment Concern"
"C003862","Affluent","Punjab",38,"Salaried","253076.04","6","36949941.88","25088654.62","119","17","0.29",6,"14.29","Repeated Late Payments"
"C009474","Mass Market","Punjab",50,"Student","53106.11","5","29683446.35","25067995.11","46","6","0.63",7,"13.04","Repeated Late Payments"
"C009606","Mass Affluent","Islamabad Capital",30,"Self-Employed","230010.63","4","30874339.23","25058301.99","68","7","0.18",3,"10.29","Repeated Late Payments"
"C000947","Premium","Khyber Pakhtunkhwa",37,"Self-Employed","883444.37","4","38353019.95","24986487.56","73","22","6.40",54,"30.14","High Payment Concern"
"C000235","Mass Affluent","Balochistan",39,"Salaried","122423.82","7","28213093.96","24766480.77","109","20","0.39",6,"18.35","Repeated Late Payments"
"C009432","Affluent","Punjab",40,"Salaried","356827.01","5","31589172.28","24745391.31","94","0","0.00",0,"0.00","No Late Payments"
"C009812","Premium","Punjab",49,"Salaried","974090.58","4","30628122.10","24705830.35","58","5","0.36",7,"8.62","Repeated Late Payments"
"C002904","Affluent","Islamabad Capital",47,"Business Owner","425783.64","7","29726538.63","24664667.56","100","17","0.32",7,"17.00","Repeated Late Payments"
"C005142","Affluent","Sindh",31,"Salaried","200817.34","4","30492540.78","24615694.43","65","4","0.35",7,"6.15","Repeated Late Payments"
"C001262","Affluent","Punjab",30,"Salaried","297474.56","6","40897525.69","24577802.54","68","14","4.57",130,"20.59","High Payment Concern"
"C006781","Mass Affluent","Punjab",24,"Salaried","90180.94","6","29471677.56","24440873.15","60","19","14.13",128,"31.67","High Payment Concern"
"C000191","Affluent","Balochistan",54,"Salaried","409235.86","4","29583365.61","24325204.91","43","2","0.16",6,"4.65","Occasional Late Payments"
"C004539","Affluent","Punjab",31,"Salaried","145853.23","4","28584379.15","24287539.01","44","7","4.59",57,"15.91","High Payment Concern"
"C000344","Affluent","Sindh",47,"Salaried","342916.11","4","38798761.28","24211151.31","64","17","0.44",2,"26.56","Repeated Late Payments"
"C009896","Affluent","Khyber Pakhtunkhwa",34,"Salaried","381834.44","7","33504872.21","24208786.26","150","30","0.29",2,"20.00","Repeated Late Payments"
"C008331","Mass Market","Punjab",31,"Salaried","89906.09","4","30063482.77","24097736.59","70","3","0.24",7,"4.29","Repeated Late Payments"
"C003495","Mass Affluent","Punjab",34,"Salaried","189731.44","3","28712270.40","24081908.71","60","24","0.65",6,"40.00","Repeated Late Payments"
"C006249","Mass Market","Sindh",30,"Salaried","179783.13","8","27364975.51","24022922.41","101","10","0.47",7,"9.90","Repeated Late Payments"
"C002799","Mass Affluent","Sindh",46,"Salaried","208648.74","4","29090457.19","23803925.72","24","5","8.50",72,"20.83","High Payment Concern"
"C009003","Affluent","Sindh",39,"Salaried","398494.63","5","30880446.55","23802227.66","50","12","0.50",7,"24.00","Repeated Late Payments"
"C009210","Affluent","Khyber Pakhtunkhwa",41,"Self-Employed","137715.70","4","26958810.53","23679012.76","52","11","0.29",2,"21.15","Repeated Late Payments"
"C002889","Affluent","Punjab",34,"Business Owner","252912.26","5","26752639.04","23675512.26","105","6","0.26",7,"5.71","Repeated Late Payments"
"C001592","Mass Market","Punjab",22,"Salaried","69004.62","4","34571577.11","23619752.52","57","10","5.81",67,"17.54","High Payment Concern"
"C004901","Affluent","Sindh",38,"Salaried","310427.67","9","29468604.15","23602043.68","151","32","0.40",6,"21.19","Repeated Late Payments"
"C001940","Mass Affluent","Punjab",21,"Self-Employed","357418.76","5","27544896.54","23548344.81","93","13","0.49",7,"13.98","Repeated Late Payments"
"C001487","Affluent","Islamabad Capital",38,"Business Owner","243999.08","5","27857834.60","23539877.16","51","12","0.35",2,"23.53","Repeated Late Payments"
"C000008","Premium","Khyber Pakhtunkhwa",47,"Self-Employed","462977.46","4","28225440.66","23509470.12","60","23","0.63",6,"38.33","Repeated Late Payments"
"C006811","Affluent","Punjab",39,"Business Owner","375834.78","5","33234875.38","23462539.49","112","8","0.21",7,"7.14","Repeated Late Payments"
"C004989","Mass Market","Balochistan",43,"Salaried","70255.79","6","29003442.20","23375633.11","103","26","3.59",69,"25.24","High Payment Concern"
"C009056","Mass Affluent","Balochistan",58,"Salaried","343303.75","3","27122495.78","23329855.73","23","4","0.70",7,"17.39","Repeated Late Payments"
"C005862","Affluent","Punjab",27,"Business Owner","199946.83","5","28114901.74","23281356.47","63","4","0.30",7,"6.35","Repeated Late Payments"
"C006106","Mass Market","Islamabad Capital",39,"Student","45143.51","4","27099635.31","23265512.25","36","1","0.17",6,"2.78","Occasional Late Payments"
"C005054","Mass Affluent","Punjab",64,"Salaried","144284.03","2","26567213.83","23257691.74","15","0","0.00",0,"0.00","No Late Payments"
"C005463","Mass Affluent","Punjab",33,"Salaried","129964.89","4","32198975.73","23254579.80","44","10","6.18",64,"22.73","High Payment Concern"
"C006193","Premium","Punjab",33,"Salaried","803143.82","3","26115441.34","23183863.59","34","1","0.15",5,"2.94","Occasional Late Payments"
"C009882","Mass Market","Punjab",38,"Salaried","34864.53","6","28792884.92","23143558.87","83","20","8.77",71,"24.10","High Payment Concern"
"C006110","Affluent","Sindh",55,"Salaried","207997.29","4","28883931.79","23085481.62","89","4","0.24",7,"4.49","Repeated Late Payments"
"C006760","Affluent","Punjab",42,"Salaried","264806.63","4","28053749.46","22993159.82","63","20","13.63",73,"31.75","High Payment Concern"
"C003463","Mass Affluent","Punjab",24,"Salaried","110347.05","7","29832734.59","22896946.39","90","24","15.37",141,"26.67","High Payment Concern"
"C000759","Affluent","Punjab",46,"Salaried","232528.04","7","43876093.15","22596975.19","152","26","0.39",7,"17.11","Repeated Late Payments"
"C001285","Affluent","Balochistan",36,"Business Owner","297750.88","3","24109814.84","22537037.85","15","0","0.00",0,"0.00","No Late Payments"
"C002459","Mass Affluent","Punjab",38,"Salaried","97730.24","6","29097943.52","22534965.36","78","6","0.26",7,"7.69","Repeated Late Payments"
"C001284","Mass Market","Sindh",39,"Salaried","94795.49","3","27333698.08","22533370.90","31","0","0.00",0,"0.00","No Late Payments"
"C000167","Affluent","Khyber Pakhtunkhwa",43,"Salaried","204604.46","4","26790133.33","22483684.62","70","2","0.13",7,"2.86","Occasional Late Payments"
"C004391","Mass Affluent","Punjab",39,"Salaried","128699.88","5","27581285.43","22449803.43","54","10","0.48",7,"18.52","Repeated Late Payments"
"C008735","Affluent","Khyber Pakhtunkhwa",33,"Business Owner","442697.59","5","25587912.36","22444282.99","55","9","0.27",4,"16.36","Repeated Late Payments"
"C007947","Mass Market","Balochistan",30,"Business Owner","55347.65","4","27519374.73","22333871.95","67","12","4.01",55,"17.91","High Payment Concern"
"C000957","Affluent","Khyber Pakhtunkhwa",27,"Salaried","314536.19","6","42036512.99","22309956.72","100","33","0.51",7,"33.00","Repeated Late Payments"
"C002761","Mass Affluent","Sindh",54,"Business Owner","113989.45","7","34173840.71","22305485.98","113","20","0.42",7,"17.70","Repeated Late Payments"
"C002633","Affluent","Balochistan",35,"Salaried","247343.24","4","28087368.90","22301782.21","74","40","33.31",148,"54.05","High Payment Concern"
"C006896","Mass Affluent","Punjab",30,"Self-Employed","117955.99","8","29394389.98","22296448.40","131","15","0.32",6,"11.45","Repeated Late Payments"
"C000302","Mass Affluent","Punjab",41,"Business Owner","73348.11","6","27934870.34","22238385.92","152","15","0.25",7,"9.87","Repeated Late Payments"
"C006908","Affluent","Khyber Pakhtunkhwa",21,"Salaried","253525.80","3","24829279.63","22210731.06","24","5","0.33",2,"20.83","Repeated Late Payments"
"C004273","Affluent","Khyber Pakhtunkhwa",30,"Salaried","286788.34","5","26398559.18","22194020.52","75","14","0.35",3,"18.67","Repeated Late Payments"
"C007418","Mass Affluent","Balochistan",42,"Salaried","268410.14","7","35835854.81","22134414.37","105","33","0.50",2,"31.43","Repeated Late Payments"
"C007076","Mass Affluent","Sindh",29,"Salaried","115453.03","7","26671752.84","22094165.44","81","8","0.19",6,"9.88","Repeated Late Payments"
"C001692","Mass Affluent","Balochistan",36,"Salaried","137412.24","4","26423247.83","22064381.69","71","6","1.77",64,"8.45","High Payment Concern"
"C006442","Affluent","Balochistan",33,"Business Owner","344549.49","6","29847185.17","22005474.02","118","18","0.32",7,"15.25","Repeated Late Payments"
"C004977","Mass Market","Sindh",33,"Self-Employed","122992.94","5","26501053.08","21962184.65","94","6","0.22",7,"6.38","Repeated Late Payments"
"C002443","Mass Market","Punjab",47,"Self-Employed","103085.78","4","32617322.34","21957227.51","122","30","0.57",7,"24.59","Repeated Late Payments"
"C001715","Affluent","Punjab",56,"Business Owner","279770.86","8","30865163.92","21898149.12","101","47","6.65",72,"46.53","High Payment Concern"
"C003760","Mass Market","Punjab",48,"Business Owner","56548.10","4","29223660.73","21890189.66","59","17","0.47",6,"28.81","Repeated Late Payments"
"C000963","Premium","Punjab",51,"Self-Employed","902417.45","5","26197057.07","21872749.80","62","11","0.48",7,"17.74","Repeated Late Payments"
"C001350","Premium","Punjab",44,"Salaried","632585.67","3","27040279.75","21783446.87","54","1","0.13",7,"1.85","Occasional Late Payments"
"C006316","Premium","Sindh",40,"Business Owner","609918.83","6","29753212.62","21780265.05","117","25","0.51",7,"21.37","Repeated Late Payments"
"C001358","Affluent","Sindh",39,"Business Owner","322401.81","5","24936450.41","21535538.63","92","27","2.75",72,"29.35","High Payment Concern"
"C007748","Mass Affluent","Sindh",36,"Salaried","174694.97","2","24297501.09","21533969.70","26","1","0.08",2,"3.85","Occasional Late Payments"
"C009244","Mass Affluent","Punjab",43,"Salaried","239948.64","4","24569750.85","21456741.06","69","3","0.23",7,"4.35","Repeated Late Payments"
"C001544","Affluent","Punjab",49,"Salaried","156342.45","4","27676242.09","21419044.24","68","7","0.18",2,"10.29","Repeated Late Payments"
"C009842","Premium","Punjab",24,"Self-Employed","655802.38","7","28989920.30","21334771.50","138","36","0.43",5,"26.09","Repeated Late Payments"
"C001440","Affluent","Islamabad Capital",49,"Salaried","209457.42","6","25144201.06","21333164.32","101","13","0.42",7,"12.87","Repeated Late Payments"
"C002315","Mass Affluent","Punjab",47,"Salaried","290915.96","9","33884705.72","21311478.91","147","29","0.41",7,"19.73","Repeated Late Payments"
"C009492","Mass Affluent","Islamabad Capital",41,"Salaried","133316.20","7","24495491.79","21304720.32","86","9","0.28",5,"10.47","Repeated Late Payments"
"C004379","Affluent","Balochistan",52,"Salaried","284821.12","3","22603815.36","21253150.59","42","3","0.24",7,"7.14","Repeated Late Payments"
"C005063","Mass Affluent","Punjab",56,"Salaried","107308.47","3","24837596.73","21181480.68","53","2","0.13",5,"3.77","Occasional Late Payments"
"C008885","Mass Market","Sindh",35,"Salaried","49139.66","5","24934247.16","21161467.26","115","19","0.47",7,"16.52","Repeated Late Payments"
"C008746","Affluent","Punjab",37,"Salaried","214706.76","6","28702417.66","21133138.97","112","27","5.98",73,"24.11","High Payment Concern"
"C001814","Premium","Punjab",40,"Self-Employed","583429.02","4","25096696.21","21129115.03","40","12","0.58",5,"30.00","Repeated Late Payments"
"C007027","Affluent","Sindh",55,"Business Owner","344901.31","6","24695048.95","21128944.28","96","13","0.31",7,"13.54","Repeated Late Payments"
"C008019","Mass Affluent","Punjab",50,"Salaried","126043.20","4","24667918.65","21127852.07","93","2","0.04",2,"2.15","Occasional Late Payments"
"C006592","Mass Affluent","Sindh",24,"Salaried","236489.97","5","26155175.03","21086219.80","63","16","1.65",32,"25.40","High Payment Concern"
"C006034","Mass Market","Punjab",46,"Self-Employed","46914.57","7","35147335.30","21051877.03","83","25","0.51",6,"30.12","Repeated Late Payments"
"C000038","Mass Affluent","Sindh",54,"Salaried","235865.54","3","23477238.14","21004026.63","58","2","0.10",4,"3.45","Occasional Late Payments"
"C003057","Mass Market","Sindh",32,"Salaried","142289.40","5","25933396.20","20998696.59","68","20","6.76",60,"29.41","High Payment Concern"
"C006305","Affluent","Khyber Pakhtunkhwa",38,"Salaried","303947.15","3","25704342.29","20980934.64","49","11","0.39",2,"22.45","Repeated Late Payments"
"C002113","Mass Affluent","Punjab",41,"Salaried","254238.81","3","25006053.84","20973186.19","52","2","0.23",7,"3.85","Occasional Late Payments"
"C003090","Affluent","Balochistan",49,"Salaried","521635.49","3","30856337.32","20919337.39","46","8","0.33",4,"17.39","Repeated Late Payments"
"C006733","Mass Affluent","Khyber Pakhtunkhwa",29,"Salaried","194605.25","4","33877810.16","20911738.03","105","18","0.39",7,"17.14","Repeated Late Payments"
"C004260","Affluent","Punjab",48,"Salaried","336204.45","5","30811031.85","20813639.64","77","19","0.44",5,"24.68","Repeated Late Payments"
"C005523","Mass Market","Punjab",37,"Self-Employed","39640.28","4","24539414.09","20807069.51","103","10","0.33",6,"9.71","Repeated Late Payments"
"C002630","Mass Affluent","Punjab",41,"Salaried","116911.46","8","28141832.12","20755989.53","118","24","0.41",7,"20.34","Repeated Late Payments"
"C004636","Mass Affluent","Punjab",39,"Salaried","75279.74","4","25196926.16","20737251.65","64","6","0.34",7,"9.38","Repeated Late Payments"
"C004686","Affluent","Punjab",44,"Self-Employed","294652.17","3","26312125.44","20676659.56","61","3","0.15",4,"4.92","Repeated Late Payments"
"C003034","Mass Market","Punjab",35,"Salaried","40228.92","6","24811964.16","20666332.62","132","42","7.54",74,"31.82","High Payment Concern"
"C007421","Mass Affluent","Punjab",32,"Salaried","55454.20","4","25330402.19","20635277.02","53","6","0.57",7,"11.32","Repeated Late Payments"
"C004010","Mass Affluent","Sindh",51,"Business Owner","105754.63","6","37004240.57","20628777.47","96","35","0.95",33,"36.46","High Payment Concern"
"C008938","Affluent","Punjab",57,"Business Owner","244681.64","4","30921778.04","20590792.13","86","8","0.17",4,"9.30","Repeated Late Payments"
"C009963","Premium","Punjab",26,"Salaried","790512.34","4","23363008.65","20578904.90","74","1","0.07",5,"1.35","Occasional Late Payments"
"C001930","Affluent","Sindh",52,"Business Owner","329441.15","5","31199815.93","20458400.77","83","31","8.58",72,"37.35","High Payment Concern"
"C001650","Affluent","Khyber Pakhtunkhwa",38,"Student","43888.83","3","22089722.66","20356745.24","27","7","0.37",2,"25.93","Repeated Late Payments"
"C003223","Mass Affluent","Khyber Pakhtunkhwa",32,"Salaried","104631.55","6","30994421.71","20329197.07","117","42","0.54",3,"35.90","Repeated Late Payments"
"C004606","Affluent","Punjab",30,"Salaried","325519.80","4","26014790.21","20319430.56","58","22","4.21",62,"37.93","High Payment Concern"
"C001690","Mass Affluent","Punjab",34,"Salaried","120622.03","6","29267270.27","20309653.35","72","25","6.39",138,"34.72","High Payment Concern"
"C009233","Mass Affluent","Sindh",24,"Business Owner","60834.93","9","29137327.22","20305596.18","129","23","3.35",61,"17.83","High Payment Concern"
"C006964","Affluent","Punjab",38,"Self-Employed","271736.90","3","23445958.71","20294096.89","59","6","0.32",7,"10.17","Repeated Late Payments"
"C001523","Affluent","Balochistan",34,"Salaried","266130.10","4","33284737.26","20261830.81","82","26","0.54",4,"31.71","Repeated Late Payments"
"C000088","Affluent","Sindh",37,"Salaried","423344.02","4","22887710.30","20217795.69","43","5","0.49",6,"11.63","Repeated Late Payments"
"C001907","Mass Affluent","Sindh",22,"Salaried","225836.26","2","26422128.53","20148490.79","35","1","0.09",3,"2.86","Occasional Late Payments"
"C005959","Mass Market","Sindh",32,"Salaried","71315.14","4","23672288.58","20141467.34","70","4","0.26",6,"5.71","Repeated Late Payments"
"C002489","Affluent","Punjab",29,"Business Owner","195599.40","5","23237180.42","20137807.74","73","12","0.22",2,"16.44","Repeated Late Payments"
"C008194","Mass Market","Balochistan",51,"Salaried","72323.47","3","25448538.17","20008073.47","37","2","0.27",6,"5.41","Occasional Late Payments"
"C002993","Mass Market","Punjab",39,"Business Owner","58376.27","8","23245995.97","20004089.34","127","38","8.97",67,"29.92","High Payment Concern"
"C000142","Affluent","Sindh",21,"Salaried","416953.91","5","23189099.23","19987881.88","54","8","0.24",2,"14.81","Repeated Late Payments"
"C009039","Mass Affluent","Punjab",39,"Salaried","123165.62","5","22889455.95","19976753.26","59","5","0.44",7,"8.47","Repeated Late Payments"
"C004460","Mass Market","Khyber Pakhtunkhwa",47,"Business Owner","75151.57","6","22644866.29","19934965.14","92","9","0.42",7,"9.78","Repeated Late Payments"
"C008059","Affluent","Sindh",41,"Business Owner","352410.39","4","23806932.55","19917578.71","27","5","0.59",6,"18.52","Repeated Late Payments"
"C002043","Affluent","Sindh",50,"Salaried","250205.94","4","23518953.85","19916246.96","59","14","0.51",6,"23.73","Repeated Late Payments"
"C001737","Affluent","Balochistan",57,"Salaried","214948.15","5","22645525.27","19883166.94","109","3","0.11",7,"2.75","Repeated Late Payments"
"C006373","Affluent","Islamabad Capital",23,"Business Owner","359004.46","6","27194231.82","19882751.58","96","26","0.56",7,"27.08","Repeated Late Payments"
"C004945","Mass Affluent","Sindh",28,"Salaried","194374.93","5","30285265.90","19875390.30","82","25","0.63",6,"30.49","Repeated Late Payments"
"C006024","Mass Affluent","Balochistan",30,"Salaried","137818.49","10","30757153.89","19859123.52","176","39","0.32",7,"22.16","Repeated Late Payments"
"C007545","Mass Affluent","Sindh",24,"Salaried","54121.75","4","24677395.58","19839313.43","79","5","0.27",6,"6.33","Repeated Late Payments"
"C000246","Mass Affluent","Khyber Pakhtunkhwa",40,"Salaried","153555.41","2","23344115.94","19769964.78","62","5","0.44",7,"8.06","Repeated Late Payments"
"C003546","Mass Affluent","Sindh",22,"Business Owner","105735.46","3","23080707.29","19759535.35","40","0","0.00",0,"0.00","No Late Payments"
"C006207","Affluent","Punjab",32,"Salaried","430868.90","3","24714184.53","19662768.20","72","5","0.26",6,"6.94","Repeated Late Payments"
"C009423","Affluent","Sindh",44,"Salaried","332144.13","3","24221917.63","19652230.62","63","5","0.14",4,"7.94","Repeated Late Payments"
"C001349","Mass Market","Punjab",37,"Salaried","49552.30","3","25388950.91","19629073.03","73","4","0.26",7,"5.48","Repeated Late Payments"
"C002906","Affluent","Sindh",23,"Self-Employed","276011.33","4","38803875.37","19595038.06","39","12","0.38",2,"30.77","Repeated Late Payments"
"C004349","Premium","Sindh",47,"Salaried","660526.81","6","42929130.48","19561683.62","71","17","0.44",3,"23.94","Repeated Late Payments"
"C003578","Premium","Punjab",46,"Salaried","472468.67","5","24078470.06","19554369.04","70","5","0.24",7,"7.14","Repeated Late Payments"
"C003430","Premium","Khyber Pakhtunkhwa",34,"Salaried","1172732.37","3","22901402.34","19510072.82","54","5","0.35",7,"9.26","Repeated Late Payments"
"C007470","Mass Market","Sindh",33,"Self-Employed","74463.38","4","24636086.42","19508301.26","64","8","0.27",7,"12.50","Repeated Late Payments"
"C003080","Premium","Punjab",48,"Salaried","877731.33","6","24690619.91","19506862.75","116","21","0.43",7,"18.10","Repeated Late Payments"
"C002167","Mass Market","Balochistan",31,"Self-Employed","83650.38","5","24068135.34","19467529.12","91","29","9.74",74,"31.87","High Payment Concern"
"C003477","Mass Market","Khyber Pakhtunkhwa",53,"Salaried","37634.31","3","23494025.64","19441489.62","47","3","0.23",6,"6.38","Repeated Late Payments"
"C007960","Mass Affluent","Islamabad Capital",45,"Salaried","192235.32","3","22497677.88","19436825.61","50","4","0.32",7,"8.00","Repeated Late Payments"
"C002809","Affluent","Punjab",29,"Salaried","370421.38","6","26391887.82","19416152.77","111","7","0.20",6,"6.31","Repeated Late Payments"
"C008769","Mass Affluent","Sindh",44,"Self-Employed","134608.73","2","22025459.41","19414845.83","38","1","0.05",2,"2.63","Occasional Late Payments"
